Epoch: 23, Loss: 1.5792, Train: 80.89%, Valid: 68.47%, Test In: 69.12% Test OOD1: 62.16% Test OOD2: 50.73% Test OOD3: 60.78% 
Epoch: 24, Loss: 1.5419, Train: 81.11%, Valid: 68.43%, Test In: 68.94% Test OOD1: 62.21% Test OOD2: 50.71% Test OOD3: 60.71% 
Epoch: 25, Loss: 1.5104, Train: 80.98%, Valid: 67.96%, Test In: 68.61% Test OOD1: 62.60% Test OOD2: 50.48% Test OOD3: 60.66% 
Epoch: 26, Loss: 1.5005, Train: 81.69%, Valid: 68.40%, Test In: 68.85% Test OOD1: 61.98% Test OOD2: 50.57% Test OOD3: 60.47% 
Epoch: 27, Loss: 1.4566, Train: 82.09%, Valid: 68.63%, Test In: 69.17% Test OOD1: 61.71% Test OOD2: 50.63% Test OOD3: 60.29% 
Epoch: 28, Loss: 1.4596, Train: 82.28%, Valid: 68.37%, Test In: 68.89% Test OOD1: 61.91% Test OOD2: 50.50% Test OOD3: 60.15% 
Epoch: 29, Loss: 1.4473, Train: 82.43%, Valid: 68.20%, Test In: 68.67% Test OOD1: 62.12% Test OOD2: 50.37% Test OOD3: 60.09% 
Epoch: 30, Loss: 1.4158, Train: 83.21%, Valid: 68.62%, Test In: 69.25% Test OOD1: 61.42% Test OOD2: 50.60% Test OOD3: 59.81% 
Epoch: 31, Loss: 1.4037, Train: 83.51%, Valid: 68.49%, Test In: 69.16% Test OOD1: 61.45% Test OOD2: 50.61% Test OOD3: 59.76% 
Epoch: 32, Loss: 1.4002, Train: 83.46%, Valid: 68.06%, Test In: 68.66% Test OOD1: 62.15% Test OOD2: 50.31% Test OOD3: 59.84% 
Epoch: 33, Loss: 1.3511, Train: 84.11%, Valid: 68.35%, Test In: 68.98% Test OOD1: 61.99% Test OOD2: 50.45% Test OOD3: 59.77% 
Epoch: 34, Loss: 1.3447, Train: 84.77%, Valid: 68.45%, Test In: 69.18% Test OOD1: 61.53% Test OOD2: 50.63% Test OOD3: 59.62% 
Epoch: 35, Loss: 1.3115, Train: 84.88%, Valid: 68.42%, Test In: 69.16% Test OOD1: 61.95% Test OOD2: 50.62% Test OOD3: 59.71% 
Epoch: 36, Loss: 1.3123, Train: 85.46%, Valid: 68.36%, Test In: 69.13% Test OOD1: 61.92% Test OOD2: 50.56% Test OOD3: 59.71% 
Epoch: 37, Loss: 1.2600, Train: 86.11%, Valid: 68.52%, Test In: 69.33% Test OOD1: 61.59% Test OOD2: 50.63% Test OOD3: 59.60% 
Epoch: 38, Loss: 1.2781, Train: 86.36%, Valid: 68.36%, Test In: 69.15% Test OOD1: 61.99% Test OOD2: 50.67% Test OOD3: 59.68% 
Epoch: 39, Loss: 1.2485, Train: 86.73%, Valid: 68.39%, Test In: 69.21% Test OOD1: 61.96% Test OOD2: 50.72% Test OOD3: 59.66% 
Epoch: 40, Loss: 1.2167, Train: 87.42%, Valid: 68.56%, Test In: 69.37% Test OOD1: 61.47% Test OOD2: 50.78% Test OOD3: 59.48% 
Epoch: 41, Loss: 1.2049, Train: 87.96%, Valid: 68.49%, Test In: 69.27% Test OOD1: 61.60% Test OOD2: 50.72% Test OOD3: 59.46% 
Epoch: 42, Loss: 1.1537, Train: 88.27%, Valid: 68.34%, Test In: 69.09% Test OOD1: 61.81% Test OOD2: 50.68% Test OOD3: 59.52% 
Epoch: 43, Loss: 1.1345, Train: 88.81%, Valid: 68.39%, Test In: 69.17% Test OOD1: 61.57% Test OOD2: 50.72% Test OOD3: 59.39% 
Epoch: 44, Loss: 1.1127, Train: 89.23%, Valid: 68.42%, Test In: 69.20% Test OOD1: 61.39% Test OOD2: 50.71% Test OOD3: 59.29% 
Epoch: 45, Loss: 1.0922, Train: 89.84%, Valid: 68.33%, Test In: 69.08% Test OOD1: 61.46% Test OOD2: 50.65% Test OOD3: 59.28% 
Epoch: 46, Loss: 1.0494, Train: 90.29%, Valid: 68.26%, Test In: 68.99% Test OOD1: 61.53% Test OOD2: 50.61% Test OOD3: 59.31% 
Epoch: 47, Loss: 1.0446, Train: 90.67%, Valid: 68.25%, Test In: 68.96% Test OOD1: 61.48% Test OOD2: 50.62% Test OOD3: 59.23% 
Epoch: 48, Loss: 0.9985, Train: 91.22%, Valid: 68.32%, Test In: 68.95% Test OOD1: 61.17% Test OOD2: 50.66% Test OOD3: 59.06% 
Epoch: 49, Loss: 0.9796, Train: 91.77%, Valid: 68.28%, Test In: 68.85% Test OOD1: 61.38% Test OOD2: 50.58% Test OOD3: 59.09% 
Epoch: 50, Loss: 0.9532, Train: 92.10%, Valid: 68.19%, Test In: 68.84% Test OOD1: 61.49% Test OOD2: 50.57% Test OOD3: 59.10% 
Epoch: 51, Loss: 0.9525, Train: 92.56%, Valid: 68.23%, Test In: 68.71% Test OOD1: 61.31% Test OOD2: 50.62% Test OOD3: 59.01% 
Epoch: 52, Loss: 0.9002, Train: 92.99%, Valid: 68.15%, Test In: 68.64% Test OOD1: 61.29% Test OOD2: 50.65% Test OOD3: 58.93% 
