Epoch: 23, Loss: 1.6462, Train: 82.32%, Valid: 70.18%, Test In: 70.99% Test OOD1: 63.73% Test OOD2: 50.74% Test OOD3: 61.59% 
Epoch: 24, Loss: 1.6313, Train: 82.73%, Valid: 70.30%, Test In: 71.06% Test OOD1: 63.64% Test OOD2: 50.66% Test OOD3: 61.58% 
Epoch: 25, Loss: 1.6271, Train: 82.94%, Valid: 70.25%, Test In: 71.00% Test OOD1: 63.54% Test OOD2: 50.64% Test OOD3: 61.53% 
Epoch: 26, Loss: 1.5939, Train: 83.21%, Valid: 70.18%, Test In: 71.00% Test OOD1: 63.11% Test OOD2: 50.78% Test OOD3: 61.40% 
Epoch: 27, Loss: 1.5954, Train: 83.82%, Valid: 70.30%, Test In: 71.14% Test OOD1: 63.25% Test OOD2: 50.79% Test OOD3: 61.50% 
Epoch: 28, Loss: 1.5739, Train: 84.16%, Valid: 70.24%, Test In: 71.08% Test OOD1: 63.01% Test OOD2: 50.73% Test OOD3: 61.37% 
Epoch: 29, Loss: 1.5699, Train: 84.36%, Valid: 70.29%, Test In: 71.09% Test OOD1: 63.09% Test OOD2: 50.69% Test OOD3: 61.29% 
Epoch: 30, Loss: 1.5569, Train: 84.60%, Valid: 70.23%, Test In: 71.04% Test OOD1: 63.14% Test OOD2: 50.65% Test OOD3: 61.16% 
Epoch: 31, Loss: 1.5316, Train: 85.21%, Valid: 70.24%, Test In: 71.07% Test OOD1: 62.87% Test OOD2: 50.72% Test OOD3: 60.93% 
Epoch: 32, Loss: 1.5306, Train: 85.80%, Valid: 70.24%, Test In: 71.10% Test OOD1: 62.84% Test OOD2: 50.79% Test OOD3: 60.90% 
Epoch: 33, Loss: 1.5016, Train: 86.09%, Valid: 70.16%, Test In: 70.95% Test OOD1: 62.59% Test OOD2: 50.81% Test OOD3: 60.68% 
Epoch: 34, Loss: 1.4996, Train: 86.47%, Valid: 70.04%, Test In: 70.89% Test OOD1: 62.87% Test OOD2: 50.65% Test OOD3: 60.69% 
Epoch: 35, Loss: 1.4748, Train: 86.82%, Valid: 70.01%, Test In: 70.93% Test OOD1: 62.90% Test OOD2: 50.62% Test OOD3: 60.67% 
Epoch: 36, Loss: 1.4615, Train: 87.26%, Valid: 70.01%, Test In: 70.91% Test OOD1: 62.63% Test OOD2: 50.74% Test OOD3: 60.48% 
Epoch: 37, Loss: 1.4403, Train: 87.71%, Valid: 69.94%, Test In: 70.84% Test OOD1: 62.29% Test OOD2: 50.73% Test OOD3: 60.28% 
Epoch: 38, Loss: 1.4247, Train: 88.12%, Valid: 69.99%, Test In: 70.91% Test OOD1: 62.73% Test OOD2: 50.55% Test OOD3: 60.43% 
Epoch: 39, Loss: 1.4174, Train: 88.20%, Valid: 69.91%, Test In: 70.81% Test OOD1: 62.94% Test OOD2: 50.51% Test OOD3: 60.41% 
Epoch: 40, Loss: 1.3865, Train: 88.58%, Valid: 69.77%, Test In: 70.66% Test OOD1: 62.35% Test OOD2: 50.62% Test OOD3: 60.11% 
Epoch: 41, Loss: 1.3809, Train: 89.43%, Valid: 69.85%, Test In: 70.74% Test OOD1: 62.53% Test OOD2: 50.64% Test OOD3: 60.26% 
Epoch: 42, Loss: 1.3557, Train: 89.52%, Valid: 69.93%, Test In: 70.81% Test OOD1: 62.69% Test OOD2: 50.50% Test OOD3: 60.24% 
