index,dataset,stage,result_name,log_file,command,return_code,elapsed_seconds,lr,weight_decay,dropout,lamda,K,hidden_channels,other_env_reduce,highest_train,highest_train_std,highest_valid,highest_valid_std,highest_in_test,highest_in_test_std,final_train,final_train_std,final_in_test,final_in_test_std,highest_ood_test_1,highest_ood_test_1_std,highest_ood_test_2,highest_ood_test_2_std,highest_ood_test_3,highest_ood_test_3_std,final_ood_test_1,final_ood_test_1_std,final_ood_test_2,final_ood_test_2_std,final_ood_test_3,final_ood_test_3_std,last_final_ood_test
11,twitch,stage1,twitch_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda2.0_K4_hidden_channels32_other_env_reduceenv,search_logs/twitch/stage1/011_twitch_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda2.0_K4_hidden_channels32_other_env_reduceenv.log,python main.py --dataset twitch --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 3 --seed 2024 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --lamda 2.0 --K 4 --hidden_channels 32 --other_env_reduce env --result_name twitch_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda2.0_K4_hidden_channels32_other_env_reduceenv,0,428.71,0.01,5e-05,0.2,2.0,4,32,env,78.45,0.2,74.02,0.01,75.05,0.03,78.4,0.16,75.03,0.05,69.37,0.07,54.07,0.02,64.26,0.05,67.83,0.17,53.59,0.24,63.47,0.05,63.47
12,twitch,stage1,twitch_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda2.0_K4_hidden_channels64_other_env_reduceenv,search_logs/twitch/stage1/012_twitch_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda2.0_K4_hidden_channels64_other_env_reduceenv.log,python main.py --dataset twitch --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 3 --seed 2024 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --lamda 2.0 --K 4 --hidden_channels 64 --other_env_reduce env --result_name twitch_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda2.0_K4_hidden_channels64_other_env_reduceenv,0,357.63,0.01,5e-05,0.2,2.0,4,64,env,80.29,1.14,74.02,0.09,74.99,0.05,80.06,1.38,74.88,0.07,69.23,0.08,54.2,0.18,64.26,0.07,67.82,0.61,53.51,0.29,63.09,0.61,63.09
13,twitch,stage1,twitch_stage1_lr0.005_weight_decay5e-05_dropout0.0_lamda0.1_K4_hidden_channels32_other_env_reduceenv,search_logs/twitch/stage1/013_twitch_stage1_lr0.005_weight_decay5e-05_dropout0.0_lamda0.1_K4_hidden_channels32_other_env_reduceenv.log,python main.py --dataset twitch --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 3 --seed 2024 --device 1 --other_env_objective irm --lr 0.005 --weight_decay 5e-05 --dropout 0.0 --lamda 0.1 --K 4 --hidden_channels 32 --other_env_reduce env --result_name twitch_stage1_lr0.005_weight_decay5e-05_dropout0.0_lamda0.1_K4_hidden_channels32_other_env_reduceenv,0,378.6,0.005,5e-05,0.0,0.1,4,32,env,79.09,0.07,72.68,0.01,74.54,0.02,78.13,0.84,74.41,0.14,68.43,0.0,54.24,0.09,64.22,0.06,67.63,0.17,54.12,0.18,64.04,0.02,64.04
14,twitch,stage1,twitch_stage1_lr0.005_weight_decay5e-05_dropout0.0_lamda0.1_K4_hidden_channels64_other_env_reduceenv,search_logs/twitch/stage1/014_twitch_stage1_lr0.005_weight_decay5e-05_dropout0.0_lamda0.1_K4_hidden_channels64_other_env_reduceenv.log,python main.py --dataset twitch --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 3 --seed 2024 --device 1 --other_env_objective irm --lr 0.005 --weight_decay 5e-05 --dropout 0.0 --lamda 0.1 --K 4 --hidden_channels 64 --other_env_reduce env --result_name twitch_stage1_lr0.005_weight_decay5e-05_dropout0.0_lamda0.1_K4_hidden_channels64_other_env_reduceenv,0,573.85,0.005,5e-05,0.0,0.1,4,64,env,83.27,0.76,72.54,0.03,74.55,0.0,78.08,0.33,74.47,0.1,68.46,0.05,54.43,0.01,64.3,0.02,67.77,0.1,54.26,0.01,64.13,0.09,64.13
15,twitch,stage1,twitch_stage1_lr0.005_weight_decay5e-05_dropout0.0_lamda1.0_K4_hidden_channels32_other_env_reduceenv,search_logs/twitch/stage1/015_twitch_stage1_lr0.005_weight_decay5e-05_dropout0.0_lamda1.0_K4_hidden_channels32_other_env_reduceenv.log,python main.py --dataset twitch --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 3 --seed 2024 --device 1 --other_env_objective irm --lr 0.005 --weight_decay 5e-05 --dropout 0.0 --lamda 1.0 --K 4 --hidden_channels 32 --other_env_reduce env --result_name twitch_stage1_lr0.005_weight_decay5e-05_dropout0.0_lamda1.0_K4_hidden_channels32_other_env_reduceenv,0,437.85,0.005,5e-05,0.0,1.0,4,32,env,80.1,0.57,72.65,0.15,74.61,0.07,78.35,0.57,74.42,0.01,68.41,0.04,54.33,0.06,64.25,0.03,67.65,0.09,54.09,0.12,64.03,0.08,64.03
16,twitch,stage1,twitch_stage1_lr0.005_weight_decay5e-05_dropout0.0_lamda1.0_K4_hidden_channels64_other_env_reduceenv,search_logs/twitch/stage1/016_twitch_stage1_lr0.005_weight_decay5e-05_dropout0.0_lamda1.0_K4_hidden_channels64_other_env_reduceenv.log,python main.py --dataset twitch --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 3 --seed 2024 --device 1 --other_env_objective irm --lr 0.005 --weight_decay 5e-05 --dropout 0.0 --lamda 1.0 --K 4 --hidden_channels 64 --other_env_reduce env --result_name twitch_stage1_lr0.005_weight_decay5e-05_dropout0.0_lamda1.0_K4_hidden_channels64_other_env_reduceenv,0,579.72,0.005,5e-05,0.0,1.0,4,64,env,82.87,0.48,72.63,0.11,74.63,0.05,77.67,0.54,74.59,0.1,68.46,0.02,54.39,0.08,64.29,0.03,67.83,0.27,54.06,0.05,64.08,0.11,64.08
17,twitch,stage1,twitch_stage1_lr0.005_weight_decay5e-05_dropout0.0_lamda2.0_K4_hidden_channels32_other_env_reduceenv,search_logs/twitch/stage1/017_twitch_stage1_lr0.005_weight_decay5e-05_dropout0.0_lamda2.0_K4_hidden_channels32_other_env_reduceenv.log,python main.py --dataset twitch --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 3 --seed 2024 --device 1 --other_env_objective irm --lr 0.005 --weight_decay 5e-05 --dropout 0.0 --lamda 2.0 --K 4 --hidden_channels 32 --other_env_reduce env --result_name twitch_stage1_lr0.005_weight_decay5e-05_dropout0.0_lamda2.0_K4_hidden_channels32_other_env_reduceenv,0,524.4,0.005,5e-05,0.0,2.0,4,32,env,79.48,0.6,72.75,0.07,74.59,0.05,78.32,0.7,74.46,0.08,68.41,0.09,54.36,0.2,64.22,0.02,67.58,0.42,54.25,0.2,63.89,0.32,63.89
18,twitch,stage1,twitch_stage1_lr0.005_weight_decay5e-05_dropout0.0_lamda2.0_K4_hidden_channels64_other_env_reduceenv,search_logs/twitch/stage1/018_twitch_stage1_lr0.005_weight_decay5e-05_dropout0.0_lamda2.0_K4_hidden_channels64_other_env_reduceenv.log,python main.py --dataset twitch --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 3 --seed 2024 --device 1 --other_env_objective irm --lr 0.005 --weight_decay 5e-05 --dropout 0.0 --lamda 2.0 --K 4 --hidden_channels 64 --other_env_reduce env --result_name twitch_stage1_lr0.005_weight_decay5e-05_dropout0.0_lamda2.0_K4_hidden_channels64_other_env_reduceenv,0,518.78,0.005,5e-05,0.0,2.0,4,64,env,82.34,0.46,72.64,0.02,74.62,0.03,78.44,1.16,74.48,0.17,68.5,0.09,54.7,0.11,64.28,0.06,67.56,0.56,54.36,0.12,63.95,0.34,63.95
19,twitch,stage1,twitch_stage1_lr0.005_weight_decay5e-05_dropout0.2_lamda0.1_K4_hidden_channels32_other_env_reduceenv,search_logs/twitch/stage1/019_twitch_stage1_lr0.005_weight_decay5e-05_dropout0.2_lamda0.1_K4_hidden_channels32_other_env_reduceenv.log,python main.py --dataset twitch --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 3 --seed 2024 --device 1 --other_env_objective irm --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --lamda 0.1 --K 4 --hidden_channels 32 --other_env_reduce env --result_name twitch_stage1_lr0.005_weight_decay5e-05_dropout0.2_lamda0.1_K4_hidden_channels32_other_env_reduceenv,0,740.64,0.005,5e-05,0.2,0.1,4,32,env,78.26,0.17,73.89,0.04,75.0,0.06,78.24,0.14,74.92,0.11,69.23,0.05,54.12,0.16,64.33,0.0,68.24,0.11,53.85,0.12,63.77,0.07,63.77
20,twitch,stage1,twitch_stage1_lr0.005_weight_decay5e-05_dropout0.2_lamda0.1_K4_hidden_channels64_other_env_reduceenv,search_logs/twitch/stage1/020_twitch_stage1_lr0.005_weight_decay5e-05_dropout0.2_lamda0.1_K4_hidden_channels64_other_env_reduceenv.log,python main.py --dataset twitch --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 3 --seed 2024 --device 1 --other_env_objective irm --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --lamda 0.1 --K 4 --hidden_channels 64 --other_env_reduce env --result_name twitch_stage1_lr0.005_weight_decay5e-05_dropout0.2_lamda0.1_K4_hidden_channels64_other_env_reduceenv,0,1363.28,0.005,5e-05,0.2,0.1,4,64,env,79.71,0.55,73.86,0.01,74.96,0.01,79.33,0.02,74.9,0.02,69.17,0.05,54.22,0.01,64.32,0.04,67.79,0.31,53.52,0.02,63.15,0.24,63.15
