index,dataset,backbone,stage,result_name,log_file,command,return_code,elapsed_seconds,lr,weight_decay,dropout,hidden_channels,K,lambda_fd,lambda_spu,lambda_ind,context_gate_temp,fd_blend,pos_weight,highest_train,highest_train_std,highest_valid,highest_valid_std,highest_in_test,highest_in_test_std,final_train,final_train_std,final_in_test,final_in_test_std,highest_ood_test_1,highest_ood_test_1_std,highest_ood_test_2,highest_ood_test_2_std,highest_ood_test_3,highest_ood_test_3_std,final_ood_test_1,final_ood_test_1_std,final_ood_test_2,final_ood_test_2_std,final_ood_test_3,final_ood_test_3_std,last_final_ood_test
11,twitch,gcn,stage2,twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp1.0_fd_blend0.5_pos_weight5.0,search_logs_frontdoor/twitch/gcn/stage2/011_twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp1.0_fd_blend0.5_pos_weight5.0.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.0 --hidden_channels 32 --K 3 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.05 --context_gate_temp 1.0 --fd_blend 0.5 --pos_weight 5.0 --result_name twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp1.0_fd_blend0.5_pos_weight5.0,0,155.11,0.01,0.0001,0.0,32,3,0.5,0.05,0.05,1.0,0.5,5.0,86.11,3.95,73.51,0.02,74.7,0.03,78.42,0.1,74.61,0.05,68.19,0.06,54.94,0.15,64.31,0.11,67.21,0.81,54.46,0.29,63.89,0.44,63.89
12,twitch,gcn,stage2,twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp1.0_fd_blend0.5_pos_weight7.0,search_logs_frontdoor/twitch/gcn/stage2/012_twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp1.0_fd_blend0.5_pos_weight7.0.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.0 --hidden_channels 32 --K 3 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.05 --context_gate_temp 1.0 --fd_blend 0.5 --pos_weight 7.0 --result_name twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp1.0_fd_blend0.5_pos_weight7.0,0,165.06,0.01,0.0001,0.0,32,3,0.5,0.05,0.05,1.0,0.5,7.0,84.52,1.8,73.67,0.12,74.8,0.16,78.61,0.31,74.49,0.29,68.32,0.18,54.98,0.77,64.35,0.06,67.5,0.35,54.6,0.74,63.92,0.11,63.92
13,twitch,gcn,stage2,twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp0.5_fd_blend0.3_pos_weight3.0,search_logs_frontdoor/twitch/gcn/stage2/013_twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp0.5_fd_blend0.3_pos_weight3.0.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.0 --hidden_channels 32 --K 3 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.1 --context_gate_temp 0.5 --fd_blend 0.3 --pos_weight 3.0 --result_name twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp0.5_fd_blend0.3_pos_weight3.0,0,167.69,0.01,0.0001,0.0,32,3,0.5,0.05,0.1,0.5,0.3,3.0,84.93,2.52,73.51,0.33,74.91,0.07,78.21,1.1,74.85,0.13,68.12,0.05,54.45,0.1,64.41,0.0,67.3,0.02,53.69,0.19,63.82,0.19,63.82
14,twitch,gcn,stage2,twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp0.5_fd_blend0.3_pos_weight5.0,search_logs_frontdoor/twitch/gcn/stage2/014_twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp0.5_fd_blend0.3_pos_weight5.0.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.0 --hidden_channels 32 --K 3 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.1 --context_gate_temp 0.5 --fd_blend 0.3 --pos_weight 5.0 --result_name twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp0.5_fd_blend0.3_pos_weight5.0,0,142.17,0.01,0.0001,0.0,32,3,0.5,0.05,0.1,0.5,0.3,5.0,87.0,1.55,73.44,0.15,74.73,0.07,78.14,1.8,74.45,0.24,67.98,0.12,54.36,0.18,64.26,0.05,66.79,0.25,53.81,0.28,63.54,0.3,63.54
15,twitch,gcn,stage2,twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp0.5_fd_blend0.3_pos_weight7.0,search_logs_frontdoor/twitch/gcn/stage2/015_twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp0.5_fd_blend0.3_pos_weight7.0.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.0 --hidden_channels 32 --K 3 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.1 --context_gate_temp 0.5 --fd_blend 0.3 --pos_weight 7.0 --result_name twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp0.5_fd_blend0.3_pos_weight7.0,0,169.96,0.01,0.0001,0.0,32,3,0.5,0.05,0.1,0.5,0.3,7.0,86.5,1.7,73.35,0.16,74.82,0.24,77.59,0.18,74.69,0.26,67.99,0.34,54.62,0.31,64.36,0.04,66.85,0.01,54.14,0.33,63.98,0.05,63.98
16,twitch,gcn,stage2,twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp0.5_fd_blend0.5_pos_weight3.0,search_logs_frontdoor/twitch/gcn/stage2/016_twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp0.5_fd_blend0.5_pos_weight3.0.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.0 --hidden_channels 32 --K 3 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.1 --context_gate_temp 0.5 --fd_blend 0.5 --pos_weight 3.0 --result_name twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp0.5_fd_blend0.5_pos_weight3.0,0,162.28,0.01,0.0001,0.0,32,3,0.5,0.05,0.1,0.5,0.5,3.0,84.9,2.25,73.25,0.23,74.87,0.08,78.09,0.7,74.75,0.06,68.13,0.16,54.53,0.13,64.42,0.01,66.79,0.67,54.21,0.39,63.92,0.13,63.92
17,twitch,gcn,stage2,twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp0.5_fd_blend0.5_pos_weight5.0,search_logs_frontdoor/twitch/gcn/stage2/017_twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp0.5_fd_blend0.5_pos_weight5.0.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.0 --hidden_channels 32 --K 3 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.1 --context_gate_temp 0.5 --fd_blend 0.5 --pos_weight 5.0 --result_name twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp0.5_fd_blend0.5_pos_weight5.0,0,170.48,0.01,0.0001,0.0,32,3,0.5,0.05,0.1,0.5,0.5,5.0,88.01,0.37,73.58,0.04,74.87,0.02,77.82,0.68,74.74,0.11,68.18,0.11,54.93,0.13,64.49,0.11,66.7,0.32,54.5,0.22,63.7,0.29,63.7
18,twitch,gcn,stage2,twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp0.5_fd_blend0.5_pos_weight7.0,search_logs_frontdoor/twitch/gcn/stage2/018_twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp0.5_fd_blend0.5_pos_weight7.0.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.0 --hidden_channels 32 --K 3 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.1 --context_gate_temp 0.5 --fd_blend 0.5 --pos_weight 7.0 --result_name twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp0.5_fd_blend0.5_pos_weight7.0,0,153.97,0.01,0.0001,0.0,32,3,0.5,0.05,0.1,0.5,0.5,7.0,86.12,0.45,73.75,0.21,74.9,0.07,77.84,0.88,74.88,0.08,68.13,0.16,54.92,0.79,64.28,0.07,66.62,0.01,54.19,0.98,63.59,0.2,63.59
19,twitch,gcn,stage2,twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp1.0_fd_blend0.3_pos_weight3.0,search_logs_frontdoor/twitch/gcn/stage2/019_twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp1.0_fd_blend0.3_pos_weight3.0.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.0 --hidden_channels 32 --K 3 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.1 --context_gate_temp 1.0 --fd_blend 0.3 --pos_weight 3.0 --result_name twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp1.0_fd_blend0.3_pos_weight3.0,0,176.71,0.01,0.0001,0.0,32,3,0.5,0.05,0.1,1.0,0.3,3.0,85.06,3.31,73.44,0.23,74.86,0.02,78.22,0.02,74.83,0.06,67.98,0.3,54.35,0.04,64.32,0.04,67.21,0.09,54.03,0.12,63.92,0.28,63.92
20,twitch,gcn,stage2,twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp1.0_fd_blend0.3_pos_weight5.0,search_logs_frontdoor/twitch/gcn/stage2/020_twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp1.0_fd_blend0.3_pos_weight5.0.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.0 --hidden_channels 32 --K 3 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.1 --context_gate_temp 1.0 --fd_blend 0.3 --pos_weight 5.0 --result_name twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp1.0_fd_blend0.3_pos_weight5.0,0,155.73,0.01,0.0001,0.0,32,3,0.5,0.05,0.1,1.0,0.3,5.0,86.48,2.26,73.46,0.31,74.93,0.05,77.91,1.19,74.75,0.17,68.22,0.06,54.57,0.03,64.38,0.02,66.83,0.04,53.69,0.45,63.76,0.04,63.76
21,twitch,gcn,stage2,twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp1.0_fd_blend0.3_pos_weight7.0,search_logs_frontdoor/twitch/gcn/stage2/021_twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp1.0_fd_blend0.3_pos_weight7.0.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.0 --hidden_channels 32 --K 3 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.1 --context_gate_temp 1.0 --fd_blend 0.3 --pos_weight 7.0 --result_name twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp1.0_fd_blend0.3_pos_weight7.0,0,159.36,0.01,0.0001,0.0,32,3,0.5,0.05,0.1,1.0,0.3,7.0,85.46,2.47,73.44,0.61,74.79,0.38,78.48,0.72,74.68,0.34,67.86,0.73,55.17,0.07,64.32,0.12,66.55,0.62,54.71,0.5,63.78,0.01,63.78
22,twitch,gcn,stage2,twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp1.0_fd_blend0.5_pos_weight3.0,search_logs_frontdoor/twitch/gcn/stage2/022_twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp1.0_fd_blend0.5_pos_weight3.0.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.0 --hidden_channels 32 --K 3 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.1 --context_gate_temp 1.0 --fd_blend 0.5 --pos_weight 3.0 --result_name twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp1.0_fd_blend0.5_pos_weight3.0,0,176.99,0.01,0.0001,0.0,32,3,0.5,0.05,0.1,1.0,0.5,3.0,86.7,2.57,73.26,0.08,74.83,0.19,78.27,0.24,74.81,0.21,68.12,0.13,54.49,0.26,64.24,0.05,67.43,0.18,54.1,0.04,63.86,0.36,63.86
23,twitch,gcn,stage2,twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp1.0_fd_blend0.5_pos_weight5.0,search_logs_frontdoor/twitch/gcn/stage2/023_twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp1.0_fd_blend0.5_pos_weight5.0.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.0 --hidden_channels 32 --K 3 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.1 --context_gate_temp 1.0 --fd_blend 0.5 --pos_weight 5.0 --result_name twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp1.0_fd_blend0.5_pos_weight5.0,0,141.72,0.01,0.0001,0.0,32,3,0.5,0.05,0.1,1.0,0.5,5.0,86.77,0.26,73.19,0.0,74.61,0.02,77.44,0.71,74.55,0.03,67.93,0.2,54.85,0.16,64.26,0.08,67.41,0.42,54.07,0.64,63.92,0.12,63.92
24,twitch,gcn,stage2,twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp1.0_fd_blend0.5_pos_weight7.0,search_logs_frontdoor/twitch/gcn/stage2/024_twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp1.0_fd_blend0.5_pos_weight7.0.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.0 --hidden_channels 32 --K 3 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.1 --context_gate_temp 1.0 --fd_blend 0.5 --pos_weight 7.0 --result_name twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp1.0_fd_blend0.5_pos_weight7.0,0,160.61,0.01,0.0001,0.0,32,3,0.5,0.05,0.1,1.0,0.5,7.0,84.52,2.21,73.46,0.24,74.73,0.07,78.07,1.48,74.61,0.23,67.88,0.19,54.67,0.19,64.36,0.13,66.56,0.23,54.26,0.53,63.75,0.05,63.75
25,twitch,gcn,stage2,twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp0.5_fd_blend0.3_pos_weight3.0,search_logs_frontdoor/twitch/gcn/stage2/025_twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp0.5_fd_blend0.3_pos_weight3.0.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.0 --hidden_channels 32 --K 3 --lambda_fd 0.5 --lambda_spu 0.1 --lambda_ind 0.05 --context_gate_temp 0.5 --fd_blend 0.3 --pos_weight 3.0 --result_name twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp0.5_fd_blend0.3_pos_weight3.0,0,171.55,0.01,0.0001,0.0,32,3,0.5,0.1,0.05,0.5,0.3,3.0,86.57,3.42,73.27,0.3,74.78,0.04,77.67,1.02,74.7,0.02,68.18,0.53,55.13,0.23,64.3,0.03,66.77,1.14,53.69,0.12,63.83,0.46,63.83
26,twitch,gcn,stage2,twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp0.5_fd_blend0.3_pos_weight5.0,search_logs_frontdoor/twitch/gcn/stage2/026_twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp0.5_fd_blend0.3_pos_weight5.0.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.0 --hidden_channels 32 --K 3 --lambda_fd 0.5 --lambda_spu 0.1 --lambda_ind 0.05 --context_gate_temp 0.5 --fd_blend 0.3 --pos_weight 5.0 --result_name twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp0.5_fd_blend0.3_pos_weight5.0,0,161.39,0.01,0.0001,0.0,32,3,0.5,0.1,0.05,0.5,0.3,5.0,85.54,2.37,73.62,0.13,74.91,0.14,78.57,0.46,74.85,0.17,67.76,0.45,55.03,0.04,64.38,0.0,66.52,0.52,54.86,0.16,63.9,0.16,63.9
27,twitch,gcn,stage2,twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp0.5_fd_blend0.3_pos_weight7.0,search_logs_frontdoor/twitch/gcn/stage2/027_twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp0.5_fd_blend0.3_pos_weight7.0.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.0 --hidden_channels 32 --K 3 --lambda_fd 0.5 --lambda_spu 0.1 --lambda_ind 0.05 --context_gate_temp 0.5 --fd_blend 0.3 --pos_weight 7.0 --result_name twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp0.5_fd_blend0.3_pos_weight7.0,0,235.34,0.01,0.0001,0.0,32,3,0.5,0.1,0.05,0.5,0.3,7.0,81.95,0.62,73.86,0.0,74.86,0.09,79.38,0.93,74.75,0.02,68.23,0.02,54.88,0.21,64.45,0.07,67.2,0.46,54.8,0.27,63.89,0.1,63.89
28,twitch,gcn,stage2,twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp0.5_fd_blend0.5_pos_weight3.0,search_logs_frontdoor/twitch/gcn/stage2/028_twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp0.5_fd_blend0.5_pos_weight3.0.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.0 --hidden_channels 32 --K 3 --lambda_fd 0.5 --lambda_spu 0.1 --lambda_ind 0.05 --context_gate_temp 0.5 --fd_blend 0.5 --pos_weight 3.0 --result_name twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp0.5_fd_blend0.5_pos_weight3.0,0,105.21,0.01,0.0001,0.0,32,3,0.5,0.1,0.05,0.5,0.5,3.0,86.08,0.97,73.6,0.26,75.06,0.18,78.49,0.43,74.8,0.3,68.31,0.11,54.85,0.18,64.5,0.09,67.53,0.24,54.41,0.4,64.1,0.32,64.1
29,twitch,gcn,stage2,twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp0.5_fd_blend0.5_pos_weight5.0,search_logs_frontdoor/twitch/gcn/stage2/029_twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp0.5_fd_blend0.5_pos_weight5.0.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.0 --hidden_channels 32 --K 3 --lambda_fd 0.5 --lambda_spu 0.1 --lambda_ind 0.05 --context_gate_temp 0.5 --fd_blend 0.5 --pos_weight 5.0 --result_name twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp0.5_fd_blend0.5_pos_weight5.0,0,168.18,0.01,0.0001,0.0,32,3,0.5,0.1,0.05,0.5,0.5,5.0,84.76,1.44,73.56,0.01,74.99,0.11,79.43,0.15,74.78,0.33,68.08,0.18,54.7,0.05,64.34,0.02,66.63,0.21,54.36,0.12,63.46,0.54,63.46
