index,dataset,backbone,stage,result_name,log_file,command,return_code,elapsed_seconds,lr,weight_decay,dropout,hidden_channels,K,lambda_fd,lambda_spu,lambda_ind,context_gate_temp,fd_blend,lambda_med,highest_train,highest_train_std,highest_valid,highest_valid_std,highest_in_test,highest_in_test_std,final_train,final_train_std,final_in_test,final_in_test_std,highest_ood_test_1,highest_ood_test_1_std,final_ood_test_1,final_ood_test_1_std,last_final_ood_test
21,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp1.0_fd_blend0.5_lambda_med0.25,search_logs_frontdoor/pubmed/gcn/stage2/021_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp1.0_fd_blend0.5_lambda_med0.25.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.1 --context_gate_temp 1.0 --fd_blend 0.5 --lambda_med 0.25 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp1.0_fd_blend0.5_lambda_med0.25,0,94.34,0.005,5e-05,0.2,64,2,0.5,0.05,0.1,1.0,0.5,0.25,99.99,0.01,97.6,0.08,97.61,0.21,99.98,0.0,97.48,0.15,93.6,0.91,90.37,0.93,90.37
22,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp1.0_fd_blend0.5_lambda_med0.5,search_logs_frontdoor/pubmed/gcn/stage2/022_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp1.0_fd_blend0.5_lambda_med0.5.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.1 --context_gate_temp 1.0 --fd_blend 0.5 --lambda_med 0.5 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp1.0_fd_blend0.5_lambda_med0.5,0,93.25,0.005,5e-05,0.2,64,2,0.5,0.05,0.1,1.0,0.5,0.5,99.99,0.01,97.6,0.03,97.49,0.04,99.97,0.01,97.3,0.02,93.28,1.06,90.39,0.82,90.39
23,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp1.0_fd_blend0.7_lambda_med0.25,search_logs_frontdoor/pubmed/gcn/stage2/023_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp1.0_fd_blend0.7_lambda_med0.25.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.1 --context_gate_temp 1.0 --fd_blend 0.7 --lambda_med 0.25 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp1.0_fd_blend0.7_lambda_med0.25,0,94.11,0.005,5e-05,0.2,64,2,0.5,0.05,0.1,1.0,0.7,0.25,99.98,0.01,97.71,0.07,97.66,0.13,99.97,0.02,97.58,0.12,92.35,0.38,90.15,0.22,90.15
24,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp1.0_fd_blend0.7_lambda_med0.5,search_logs_frontdoor/pubmed/gcn/stage2/024_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp1.0_fd_blend0.7_lambda_med0.5.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.1 --context_gate_temp 1.0 --fd_blend 0.7 --lambda_med 0.5 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp1.0_fd_blend0.7_lambda_med0.5,0,94.52,0.005,5e-05,0.2,64,2,0.5,0.05,0.1,1.0,0.7,0.5,99.99,0.01,97.61,0.08,97.55,0.17,99.98,0.01,97.42,0.19,93.5,1.13,89.95,1.93,89.95
25,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp0.5_fd_blend0.3_lambda_med0.25,search_logs_frontdoor/pubmed/gcn/stage2/025_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp0.5_fd_blend0.3_lambda_med0.25.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.1 --lambda_ind 0.05 --context_gate_temp 0.5 --fd_blend 0.3 --lambda_med 0.25 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp0.5_fd_blend0.3_lambda_med0.25,0,95.59,0.005,5e-05,0.2,64,2,0.5,0.1,0.05,0.5,0.3,0.25,99.99,0.0,97.7,0.06,97.59,0.12,99.99,0.0,97.54,0.05,93.86,0.76,90.65,0.93,90.65
26,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp0.5_fd_blend0.3_lambda_med0.5,search_logs_frontdoor/pubmed/gcn/stage2/026_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp0.5_fd_blend0.3_lambda_med0.5.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.1 --lambda_ind 0.05 --context_gate_temp 0.5 --fd_blend 0.3 --lambda_med 0.5 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp0.5_fd_blend0.3_lambda_med0.5,0,97.43,0.005,5e-05,0.2,64,2,0.5,0.1,0.05,0.5,0.3,0.5,99.99,0.0,97.7,0.08,97.57,0.04,99.99,0.0,97.55,0.07,93.52,0.13,90.34,0.08,90.34
27,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp0.5_fd_blend0.5_lambda_med0.25,search_logs_frontdoor/pubmed/gcn/stage2/027_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp0.5_fd_blend0.5_lambda_med0.25.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.1 --lambda_ind 0.05 --context_gate_temp 0.5 --fd_blend 0.5 --lambda_med 0.25 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp0.5_fd_blend0.5_lambda_med0.25,0,97.64,0.005,5e-05,0.2,64,2,0.5,0.1,0.05,0.5,0.5,0.25,99.99,0.01,97.72,0.03,97.56,0.15,99.97,0.02,97.4,0.26,93.68,0.3,90.14,0.41,90.14
28,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp0.5_fd_blend0.5_lambda_med0.5,search_logs_frontdoor/pubmed/gcn/stage2/028_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp0.5_fd_blend0.5_lambda_med0.5.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.1 --lambda_ind 0.05 --context_gate_temp 0.5 --fd_blend 0.5 --lambda_med 0.5 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp0.5_fd_blend0.5_lambda_med0.5,0,97.51,0.005,5e-05,0.2,64,2,0.5,0.1,0.05,0.5,0.5,0.5,99.99,0.0,97.65,0.04,97.56,0.16,99.98,0.0,97.5,0.23,92.82,1.39,89.85,2.44,89.85
29,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp0.5_fd_blend0.7_lambda_med0.25,search_logs_frontdoor/pubmed/gcn/stage2/029_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp0.5_fd_blend0.7_lambda_med0.25.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.1 --lambda_ind 0.05 --context_gate_temp 0.5 --fd_blend 0.7 --lambda_med 0.25 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp0.5_fd_blend0.7_lambda_med0.25,0,99.33,0.005,5e-05,0.2,64,2,0.5,0.1,0.05,0.5,0.7,0.25,99.99,0.01,97.61,0.04,97.63,0.15,99.97,0.02,97.58,0.22,92.43,0.05,90.17,1.55,90.17
30,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp0.5_fd_blend0.7_lambda_med0.5,search_logs_frontdoor/pubmed/gcn/stage2/030_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp0.5_fd_blend0.7_lambda_med0.5.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.1 --lambda_ind 0.05 --context_gate_temp 0.5 --fd_blend 0.7 --lambda_med 0.5 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp0.5_fd_blend0.7_lambda_med0.5,0,95.46,0.005,5e-05,0.2,64,2,0.5,0.1,0.05,0.5,0.7,0.5,99.99,0.01,97.63,0.01,97.58,0.18,99.98,0.02,97.44,0.17,93.23,1.12,90.68,1.64,90.68
31,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp1.0_fd_blend0.3_lambda_med0.25,search_logs_frontdoor/pubmed/gcn/stage2/031_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp1.0_fd_blend0.3_lambda_med0.25.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.1 --lambda_ind 0.05 --context_gate_temp 1.0 --fd_blend 0.3 --lambda_med 0.25 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp1.0_fd_blend0.3_lambda_med0.25,0,94.08,0.005,5e-05,0.2,64,2,0.5,0.1,0.05,1.0,0.3,0.25,99.99,0.0,97.66,0.16,97.55,0.09,99.98,0.01,97.44,0.15,93.69,0.0,90.84,0.63,90.84
32,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp1.0_fd_blend0.3_lambda_med0.5,search_logs_frontdoor/pubmed/gcn/stage2/032_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp1.0_fd_blend0.3_lambda_med0.5.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.1 --lambda_ind 0.05 --context_gate_temp 1.0 --fd_blend 0.3 --lambda_med 0.5 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp1.0_fd_blend0.3_lambda_med0.5,0,98.28,0.005,5e-05,0.2,64,2,0.5,0.1,0.05,1.0,0.3,0.5,99.99,0.0,97.6,0.07,97.64,0.06,99.98,0.0,97.54,0.04,93.29,0.54,90.79,0.22,90.79
33,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp1.0_fd_blend0.5_lambda_med0.25,search_logs_frontdoor/pubmed/gcn/stage2/033_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp1.0_fd_blend0.5_lambda_med0.25.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.1 --lambda_ind 0.05 --context_gate_temp 1.0 --fd_blend 0.5 --lambda_med 0.25 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp1.0_fd_blend0.5_lambda_med0.25,0,95.16,0.005,5e-05,0.2,64,2,0.5,0.1,0.05,1.0,0.5,0.25,99.99,0.01,97.59,0.04,97.6,0.24,99.99,0.01,97.53,0.25,93.51,0.6,90.5,1.67,90.5
34,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp1.0_fd_blend0.5_lambda_med0.5,search_logs_frontdoor/pubmed/gcn/stage2/034_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp1.0_fd_blend0.5_lambda_med0.5.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.1 --lambda_ind 0.05 --context_gate_temp 1.0 --fd_blend 0.5 --lambda_med 0.5 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp1.0_fd_blend0.5_lambda_med0.5,0,100.97,0.005,5e-05,0.2,64,2,0.5,0.1,0.05,1.0,0.5,0.5,99.99,0.0,97.6,0.04,97.61,0.01,99.98,0.01,97.59,0.01,93.53,0.71,90.58,1.41,90.58
35,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp1.0_fd_blend0.7_lambda_med0.25,search_logs_frontdoor/pubmed/gcn/stage2/035_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp1.0_fd_blend0.7_lambda_med0.25.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.1 --lambda_ind 0.05 --context_gate_temp 1.0 --fd_blend 0.7 --lambda_med 0.25 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp1.0_fd_blend0.7_lambda_med0.25,0,98.86,0.005,5e-05,0.2,64,2,0.5,0.1,0.05,1.0,0.7,0.25,99.98,0.0,97.66,0.03,97.65,0.12,99.97,0.01,97.5,0.0,92.53,0.22,89.54,0.55,89.54
36,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp1.0_fd_blend0.7_lambda_med0.5,search_logs_frontdoor/pubmed/gcn/stage2/036_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp1.0_fd_blend0.7_lambda_med0.5.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.1 --lambda_ind 0.05 --context_gate_temp 1.0 --fd_blend 0.7 --lambda_med 0.5 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.05_context_gate_temp1.0_fd_blend0.7_lambda_med0.5,0,98.61,0.005,5e-05,0.2,64,2,0.5,0.1,0.05,1.0,0.7,0.5,99.99,0.0,97.54,0.03,97.57,0.19,99.98,0.0,97.46,0.18,93.02,0.98,90.51,0.69,90.51
37,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.1_context_gate_temp0.5_fd_blend0.3_lambda_med0.25,search_logs_frontdoor/pubmed/gcn/stage2/037_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.1_context_gate_temp0.5_fd_blend0.3_lambda_med0.25.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.1 --lambda_ind 0.1 --context_gate_temp 0.5 --fd_blend 0.3 --lambda_med 0.25 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.1_context_gate_temp0.5_fd_blend0.3_lambda_med0.25,0,95.82,0.005,5e-05,0.2,64,2,0.5,0.1,0.1,0.5,0.3,0.25,99.99,0.0,97.61,0.08,97.54,0.14,99.98,0.0,97.5,0.18,93.79,0.67,91.31,1.28,91.31
38,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.1_context_gate_temp0.5_fd_blend0.3_lambda_med0.5,search_logs_frontdoor/pubmed/gcn/stage2/038_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.1_context_gate_temp0.5_fd_blend0.3_lambda_med0.5.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.1 --lambda_ind 0.1 --context_gate_temp 0.5 --fd_blend 0.3 --lambda_med 0.5 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.1_context_gate_temp0.5_fd_blend0.3_lambda_med0.5,0,93.44,0.005,5e-05,0.2,64,2,0.5,0.1,0.1,0.5,0.3,0.5,99.99,0.0,97.67,0.06,97.66,0.0,99.98,0.01,97.5,0.07,93.51,0.21,90.37,0.04,90.37
39,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.1_context_gate_temp0.5_fd_blend0.5_lambda_med0.25,search_logs_frontdoor/pubmed/gcn/stage2/039_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.1_context_gate_temp0.5_fd_blend0.5_lambda_med0.25.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.1 --lambda_ind 0.1 --context_gate_temp 0.5 --fd_blend 0.5 --lambda_med 0.25 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.1_context_gate_temp0.5_fd_blend0.5_lambda_med0.25,0,93.62,0.005,5e-05,0.2,64,2,0.5,0.1,0.1,0.5,0.5,0.25,99.99,0.01,97.63,0.03,97.51,0.14,99.98,0.01,97.48,0.11,93.35,0.41,90.29,0.51,90.29
40,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.1_context_gate_temp0.5_fd_blend0.5_lambda_med0.5,search_logs_frontdoor/pubmed/gcn/stage2/040_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.1_context_gate_temp0.5_fd_blend0.5_lambda_med0.5.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.1 --lambda_ind 0.1 --context_gate_temp 0.5 --fd_blend 0.5 --lambda_med 0.5 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.1_context_gate_temp0.5_fd_blend0.5_lambda_med0.5,0,95.21,0.005,5e-05,0.2,64,2,0.5,0.1,0.1,0.5,0.5,0.5,99.99,0.0,97.61,0.03,97.59,0.05,99.98,0.01,97.48,0.14,93.1,0.92,90.19,0.71,90.19
