index,dataset,stage,result_name,log_file,command,return_code,elapsed_seconds,lr,weight_decay,dropout,lamda,K,hidden_channels,other_env_reduce,highest_train,highest_train_std,highest_valid,highest_valid_std,highest_in_test,highest_in_test_std,final_train,final_train_std,final_in_test,final_in_test_std,highest_ood_test_1,highest_ood_test_1_std,highest_ood_test_2,highest_ood_test_2_std,highest_ood_test_3,highest_ood_test_3_std,final_ood_test_1,final_ood_test_1_std,final_ood_test_2,final_ood_test_2_std,final_ood_test_3,final_ood_test_3_std,last_final_ood_test
11,arxiv,stage1,arxiv_stage1_lr0.005_weight_decay0.0005_dropout0.1_lamda1.0_K3_hidden_channels64_other_env_reduceenv,search_logs/arxiv/stage1/011_arxiv_stage1_lr0.005_weight_decay0.0005_dropout0.1_lamda1.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset arxiv --backbone_type gcn --env_type node --variant --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.005 --weight_decay 0.0005 --dropout 0.1 --lamda 1.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name arxiv_stage1_lr0.005_weight_decay0.0005_dropout0.1_lamda1.0_K3_hidden_channels64_other_env_reduceenv,0,842.29,0.005,0.0005,0.1,1.0,3,64,env,71.33,0.23,63.31,0.06,62.79,0.34,70.75,0.54,62.7,0.32,61.93,0.06,59.7,0.28,60.88,0.04,61.71,0.21,59.25,0.47,59.79,0.97,59.79
12,arxiv,stage1,arxiv_stage1_lr0.005_weight_decay0.0005_dropout0.1_lamda2.0_K3_hidden_channels64_other_env_reduceenv,search_logs/arxiv/stage1/012_arxiv_stage1_lr0.005_weight_decay0.0005_dropout0.1_lamda2.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset arxiv --backbone_type gcn --env_type node --variant --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.005 --weight_decay 0.0005 --dropout 0.1 --lamda 2.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name arxiv_stage1_lr0.005_weight_decay0.0005_dropout0.1_lamda2.0_K3_hidden_channels64_other_env_reduceenv,0,716.95,0.005,0.0005,0.1,2.0,3,64,env,72.16,0.05,63.46,0.32,63.01,0.36,71.91,0.2,62.87,0.36,61.8,0.0,59.64,0.1,60.66,0.3,61.62,0.16,58.27,0.1,58.09,0.3,58.09
13,arxiv,stage1,arxiv_stage1_lr0.005_weight_decay0.0005_dropout0.2_lamda0.1_K3_hidden_channels64_other_env_reduceenv,search_logs/arxiv/stage1/013_arxiv_stage1_lr0.005_weight_decay0.0005_dropout0.2_lamda0.1_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset arxiv --backbone_type gcn --env_type node --variant --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.005 --weight_decay 0.0005 --dropout 0.2 --lamda 0.1 --K 3 --hidden_channels 64 --other_env_reduce env --result_name arxiv_stage1_lr0.005_weight_decay0.0005_dropout0.2_lamda0.1_K3_hidden_channels64_other_env_reduceenv,0,617.11,0.005,0.0005,0.2,0.1,3,64,env,65.58,0.05,61.35,0.09,60.69,0.11,65.37,0.16,60.5,0.0,60.12,0.18,58.64,0.05,60.32,0.06,60.11,0.2,58.22,0.04,59.58,0.05,59.58
14,arxiv,stage1,arxiv_stage1_lr0.005_weight_decay0.0005_dropout0.2_lamda1.0_K3_hidden_channels64_other_env_reduceenv,search_logs/arxiv/stage1/014_arxiv_stage1_lr0.005_weight_decay0.0005_dropout0.2_lamda1.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset arxiv --backbone_type gcn --env_type node --variant --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.005 --weight_decay 0.0005 --dropout 0.2 --lamda 1.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name arxiv_stage1_lr0.005_weight_decay0.0005_dropout0.2_lamda1.0_K3_hidden_channels64_other_env_reduceenv,0,1056.37,0.005,0.0005,0.2,1.0,3,64,env,66.39,0.35,61.58,0.09,61.13,0.04,66.15,0.46,60.88,0.12,60.3,0.16,58.69,0.56,60.28,0.46,60.18,0.12,57.98,0.49,59.29,0.66,59.29
15,arxiv,stage1,arxiv_stage1_lr0.005_weight_decay0.0005_dropout0.2_lamda2.0_K3_hidden_channels64_other_env_reduceenv,search_logs/arxiv/stage1/015_arxiv_stage1_lr0.005_weight_decay0.0005_dropout0.2_lamda2.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset arxiv --backbone_type gcn --env_type node --variant --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.005 --weight_decay 0.0005 --dropout 0.2 --lamda 2.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name arxiv_stage1_lr0.005_weight_decay0.0005_dropout0.2_lamda2.0_K3_hidden_channels64_other_env_reduceenv,1,76.21,0.005,0.0005,0.2,2.0,3,64,env,,,,,,,,,,,,,,,,,,,,,,,
16,arxiv,stage1,arxiv_stage1_lr0.005_weight_decay0.0005_dropout0.3_lamda0.1_K3_hidden_channels64_other_env_reduceenv,search_logs/arxiv/stage1/016_arxiv_stage1_lr0.005_weight_decay0.0005_dropout0.3_lamda0.1_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset arxiv --backbone_type gcn --env_type node --variant --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.005 --weight_decay 0.0005 --dropout 0.3 --lamda 0.1 --K 3 --hidden_channels 64 --other_env_reduce env --result_name arxiv_stage1_lr0.005_weight_decay0.0005_dropout0.3_lamda0.1_K3_hidden_channels64_other_env_reduceenv,1,76.18,0.005,0.0005,0.3,0.1,3,64,env,,,,,,,,,,,,,,,,,,,,,,,
17,arxiv,stage1,arxiv_stage1_lr0.005_weight_decay0.0005_dropout0.3_lamda1.0_K3_hidden_channels64_other_env_reduceenv,search_logs/arxiv/stage1/017_arxiv_stage1_lr0.005_weight_decay0.0005_dropout0.3_lamda1.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset arxiv --backbone_type gcn --env_type node --variant --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.005 --weight_decay 0.0005 --dropout 0.3 --lamda 1.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name arxiv_stage1_lr0.005_weight_decay0.0005_dropout0.3_lamda1.0_K3_hidden_channels64_other_env_reduceenv,0,1464.3,0.005,0.0005,0.3,1.0,3,64,env,62.18,0.2,59.13,0.03,58.78,0.04,61.86,0.19,58.54,0.07,58.1,0.07,56.94,0.26,58.96,0.3,57.81,0.17,56.24,0.09,58.45,0.15,58.45
18,arxiv,stage1,arxiv_stage1_lr0.005_weight_decay0.0005_dropout0.3_lamda2.0_K3_hidden_channels64_other_env_reduceenv,search_logs/arxiv/stage1/018_arxiv_stage1_lr0.005_weight_decay0.0005_dropout0.3_lamda2.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset arxiv --backbone_type gcn --env_type node --variant --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.005 --weight_decay 0.0005 --dropout 0.3 --lamda 2.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name arxiv_stage1_lr0.005_weight_decay0.0005_dropout0.3_lamda2.0_K3_hidden_channels64_other_env_reduceenv,0,1365.03,0.005,0.0005,0.3,2.0,3,64,env,62.54,0.26,59.37,0.01,58.92,0.03,62.42,0.08,58.73,0.1,58.35,0.0,57.16,0.08,59.19,0.01,58.11,0.09,56.75,0.1,58.99,0.23,58.99
19,arxiv,stage1,arxiv_stage1_lr0.001_weight_decay0.0005_dropout0.1_lamda0.1_K3_hidden_channels64_other_env_reduceenv,search_logs/arxiv/stage1/019_arxiv_stage1_lr0.001_weight_decay0.0005_dropout0.1_lamda0.1_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset arxiv --backbone_type gcn --env_type node --variant --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.001 --weight_decay 0.0005 --dropout 0.1 --lamda 0.1 --K 3 --hidden_channels 64 --other_env_reduce env --result_name arxiv_stage1_lr0.001_weight_decay0.0005_dropout0.1_lamda0.1_K3_hidden_channels64_other_env_reduceenv,0,904.66,0.001,0.0005,0.1,0.1,3,64,env,64.66,0.08,60.71,0.06,59.9,0.06,64.55,0.05,59.76,0.11,59.67,0.26,57.0,1.51,57.68,2.73,59.62,0.28,56.84,1.58,57.39,2.54,57.39
20,arxiv,stage1,arxiv_stage1_lr0.001_weight_decay0.0005_dropout0.1_lamda1.0_K3_hidden_channels64_other_env_reduceenv,search_logs/arxiv/stage1/020_arxiv_stage1_lr0.001_weight_decay0.0005_dropout0.1_lamda1.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset arxiv --backbone_type gcn --env_type node --variant --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.001 --weight_decay 0.0005 --dropout 0.1 --lamda 1.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name arxiv_stage1_lr0.001_weight_decay0.0005_dropout0.1_lamda1.0_K3_hidden_channels64_other_env_reduceenv,0,490.77,0.001,0.0005,0.1,1.0,3,64,env,65.1,0.0,61.05,0.06,60.0,0.08,65.0,0.15,59.75,0.13,59.73,0.38,56.62,2.03,57.04,3.43,59.57,0.34,56.27,2.27,56.62,3.6,56.62
21,arxiv,stage1,arxiv_stage1_lr0.001_weight_decay0.0005_dropout0.1_lamda2.0_K3_hidden_channels64_other_env_reduceenv,search_logs/arxiv/stage1/021_arxiv_stage1_lr0.001_weight_decay0.0005_dropout0.1_lamda2.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset arxiv --backbone_type gcn --env_type node --variant --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.001 --weight_decay 0.0005 --dropout 0.1 --lamda 2.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name arxiv_stage1_lr0.001_weight_decay0.0005_dropout0.1_lamda2.0_K3_hidden_channels64_other_env_reduceenv,0,527.57,0.001,0.0005,0.1,2.0,3,64,env,65.35,0.1,61.09,0.05,60.08,0.01,65.29,0.18,59.98,0.02,59.75,0.35,57.45,1.45,58.38,2.3,59.62,0.35,57.0,1.88,57.62,2.97,57.62
22,arxiv,stage1,arxiv_stage1_lr0.001_weight_decay0.0005_dropout0.2_lamda0.1_K3_hidden_channels64_other_env_reduceenv,search_logs/arxiv/stage1/022_arxiv_stage1_lr0.001_weight_decay0.0005_dropout0.2_lamda0.1_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset arxiv --backbone_type gcn --env_type node --variant --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.001 --weight_decay 0.0005 --dropout 0.2 --lamda 0.1 --K 3 --hidden_channels 64 --other_env_reduce env --result_name arxiv_stage1_lr0.001_weight_decay0.0005_dropout0.2_lamda0.1_K3_hidden_channels64_other_env_reduceenv,0,317.09,0.001,0.0005,0.2,0.1,3,64,env,62.08,0.03,59.12,0.01,58.36,0.16,62.05,0.0,58.26,0.31,58.21,0.2,56.64,0.78,58.16,0.94,58.1,0.19,56.07,0.7,57.34,1.05,57.34
23,arxiv,stage1,arxiv_stage1_lr0.001_weight_decay0.0005_dropout0.2_lamda1.0_K3_hidden_channels64_other_env_reduceenv,search_logs/arxiv/stage1/023_arxiv_stage1_lr0.001_weight_decay0.0005_dropout0.2_lamda1.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset arxiv --backbone_type gcn --env_type node --variant --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.001 --weight_decay 0.0005 --dropout 0.2 --lamda 1.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name arxiv_stage1_lr0.001_weight_decay0.0005_dropout0.2_lamda1.0_K3_hidden_channels64_other_env_reduceenv,0,352.87,0.001,0.0005,0.2,1.0,3,64,env,62.45,0.12,59.33,0.15,58.62,0.04,62.4,0.05,58.47,0.06,58.39,0.05,56.86,0.57,58.5,0.74,58.31,0.06,56.45,0.24,58.0,0.17,58.0
24,arxiv,stage1,arxiv_stage1_lr0.001_weight_decay0.0005_dropout0.2_lamda2.0_K3_hidden_channels64_other_env_reduceenv,search_logs/arxiv/stage1/024_arxiv_stage1_lr0.001_weight_decay0.0005_dropout0.2_lamda2.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset arxiv --backbone_type gcn --env_type node --variant --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.001 --weight_decay 0.0005 --dropout 0.2 --lamda 2.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name arxiv_stage1_lr0.001_weight_decay0.0005_dropout0.2_lamda2.0_K3_hidden_channels64_other_env_reduceenv,0,470.69,0.001,0.0005,0.2,2.0,3,64,env,62.55,0.07,59.36,0.05,58.63,0.01,62.44,0.02,58.53,0.1,58.46,0.08,56.83,0.7,58.51,0.92,58.29,0.19,56.39,0.5,58.0,0.59,58.0
25,arxiv,stage1,arxiv_stage1_lr0.001_weight_decay0.0005_dropout0.3_lamda0.1_K3_hidden_channels64_other_env_reduceenv,search_logs/arxiv/stage1/025_arxiv_stage1_lr0.001_weight_decay0.0005_dropout0.3_lamda0.1_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset arxiv --backbone_type gcn --env_type node --variant --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.001 --weight_decay 0.0005 --dropout 0.3 --lamda 0.1 --K 3 --hidden_channels 64 --other_env_reduce env --result_name arxiv_stage1_lr0.001_weight_decay0.0005_dropout0.3_lamda0.1_K3_hidden_channels64_other_env_reduceenv,0,602.85,0.001,0.0005,0.3,0.1,3,64,env,59.54,0.03,57.71,0.03,57.01,0.05,59.46,0.06,56.92,0.04,56.35,0.07,54.38,0.09,56.15,0.35,56.14,0.15,53.44,0.93,54.86,1.37,54.86
26,arxiv,stage1,arxiv_stage1_lr0.001_weight_decay0.0005_dropout0.3_lamda1.0_K3_hidden_channels64_other_env_reduceenv,search_logs/arxiv/stage1/026_arxiv_stage1_lr0.001_weight_decay0.0005_dropout0.3_lamda1.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset arxiv --backbone_type gcn --env_type node --variant --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.001 --weight_decay 0.0005 --dropout 0.3 --lamda 1.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name arxiv_stage1_lr0.001_weight_decay0.0005_dropout0.3_lamda1.0_K3_hidden_channels64_other_env_reduceenv,0,551.49,0.001,0.0005,0.3,1.0,3,64,env,59.73,0.04,57.67,0.06,57.19,0.03,59.57,0.21,56.95,0.02,56.5,0.04,54.5,0.54,56.33,0.92,56.29,0.07,53.92,0.99,55.48,1.64,55.48
27,arxiv,stage1,arxiv_stage1_lr0.001_weight_decay0.0005_dropout0.3_lamda2.0_K3_hidden_channels64_other_env_reduceenv,search_logs/arxiv/stage1/027_arxiv_stage1_lr0.001_weight_decay0.0005_dropout0.3_lamda2.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset arxiv --backbone_type gcn --env_type node --variant --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.001 --weight_decay 0.0005 --dropout 0.3 --lamda 2.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name arxiv_stage1_lr0.001_weight_decay0.0005_dropout0.3_lamda2.0_K3_hidden_channels64_other_env_reduceenv,0,587.23,0.001,0.0005,0.3,2.0,3,64,env,59.87,0.04,57.83,0.0,57.17,0.12,59.69,0.07,57.08,0.08,56.6,0.11,54.77,0.47,56.7,0.92,56.35,0.22,54.37,0.08,56.12,0.13,56.12
