index,dataset,backbone,stage,result_name,log_file,command,return_code,elapsed_seconds,lr,weight_decay,dropout,hidden_channels,K,highest_train,highest_train_std,highest_valid,highest_valid_std,highest_in_test,highest_in_test_std,final_train,final_train_std,final_in_test,final_in_test_std,highest_ood_test_1,highest_ood_test_1_std,highest_ood_test_2,highest_ood_test_2_std,highest_ood_test_3,highest_ood_test_3_std,final_ood_test_1,final_ood_test_1_std,final_ood_test_2,final_ood_test_2_std,final_ood_test_3,final_ood_test_3_std,last_final_ood_test
1,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels64_K2,search_logs_frontdoor/arxiv/gat/stage1/001_arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels64_K2.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.005 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 64 --K 2 --result_name arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels64_K2,0,655.42,0.005,5e-05,0.1,64,2,73.48,0.44,63.37,0.51,63.74,0.09,73.22,0.41,63.24,0.07,61.65,0.15,60.37,0.33,61.6,0.21,61.3,0.07,59.21,0.28,60.48,0.3,60.48
2,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels64_K3,search_logs_frontdoor/arxiv/gat/stage1/002_arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels64_K3.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.005 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 64 --K 3 --result_name arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels64_K3,0,604.97,0.005,5e-05,0.1,64,3,73.34,0.09,63.11,0.1,63.07,0.08,72.58,0.19,62.85,0.06,61.29,0.18,60.12,0.35,61.12,0.6,60.91,0.19,59.56,0.67,60.67,0.65,60.67
3,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels128_K2,search_logs_frontdoor/arxiv/gat/stage1/003_arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels128_K2.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.005 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 128 --K 2 --result_name arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels128_K2,0,762.47,0.005,5e-05,0.1,128,2,89.31,0.29,64.56,0.05,64.64,0.04,85.47,3.93,64.05,0.22,61.8,0.32,60.71,0.44,61.75,0.18,60.95,0.06,58.68,0.22,59.65,0.15,59.65
4,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels128_K3,search_logs_frontdoor/arxiv/gat/stage1/004_arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels128_K3.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.005 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 128 --K 3 --result_name arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels128_K3,0,732.99,0.005,5e-05,0.1,128,3,88.52,0.6,64.13,0.02,64.58,0.33,83.37,4.41,63.92,0.04,61.92,0.31,60.83,0.07,61.78,0.12,61.35,0.48,59.95,0.37,60.57,0.38,60.57
5,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2,search_logs_frontdoor/arxiv/gat/stage1/005_arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --result_name arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2,0,697.96,0.005,5e-05,0.2,64,2,67.8,0.47,62.34,0.24,62.69,0.34,67.39,0.55,62.27,0.67,61.13,0.08,60.34,0.25,61.85,0.59,60.67,0.17,59.35,0.23,60.83,0.61,60.83
6,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K3,search_logs_frontdoor/arxiv/gat/stage1/006_arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K3.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 3 --result_name arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K3,0,647.53,0.005,5e-05,0.2,64,3,67.39,0.1,62.22,0.13,62.64,0.04,66.78,0.42,62.15,0.04,60.86,0.12,59.9,0.28,61.33,0.63,60.55,0.13,59.28,0.31,60.63,0.63,60.63
7,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels128_K2,search_logs_frontdoor/arxiv/gat/stage1/007_arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels128_K2.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 128 --K 2 --result_name arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels128_K2,0,673.68,0.005,5e-05,0.2,128,2,76.4,0.5,64.36,0.5,64.75,0.4,75.61,0.88,64.31,0.49,62.62,0.17,60.99,0.07,62.03,0.0,62.15,0.6,60.24,1.13,61.28,0.09,61.28
8,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels128_K3,search_logs_frontdoor/arxiv/gat/stage1/008_arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels128_K3.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 128 --K 3 --result_name arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels128_K3,0,672.12,0.005,5e-05,0.2,128,3,75.7,0.59,64.19,0.12,64.81,0.06,75.5,0.31,64.34,0.32,62.45,0.17,60.97,0.2,62.28,0.25,62.17,0.44,60.06,0.67,60.78,0.64,60.78
9,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.3_hidden_channels64_K2,search_logs_frontdoor/arxiv/gat/stage1/009_arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.3_hidden_channels64_K2.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.005 --weight_decay 5e-05 --dropout 0.3 --hidden_channels 64 --K 2 --result_name arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.3_hidden_channels64_K2,0,646.96,0.005,5e-05,0.3,64,2,63.48,0.17,60.16,0.19,60.58,0.11,63.07,0.08,60.35,0.0,59.32,0.04,59.0,0.78,60.49,0.78,58.83,0.01,58.25,0.42,60.19,0.38,60.19
10,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.3_hidden_channels64_K3,search_logs_frontdoor/arxiv/gat/stage1/010_arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.3_hidden_channels64_K3.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.005 --weight_decay 5e-05 --dropout 0.3 --hidden_channels 64 --K 3 --result_name arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.3_hidden_channels64_K3,0,668.03,0.005,5e-05,0.3,64,3,63.25,0.41,60.0,0.27,60.72,0.19,62.9,0.72,60.03,0.15,59.18,0.16,59.04,0.6,60.62,0.36,58.79,0.71,58.44,1.42,59.97,0.76,59.97
11,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.3_hidden_channels128_K2,search_logs_frontdoor/arxiv/gat/stage1/011_arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.3_hidden_channels128_K2.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.005 --weight_decay 5e-05 --dropout 0.3 --hidden_channels 128 --K 2 --result_name arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.3_hidden_channels128_K2,0,614.45,0.005,5e-05,0.3,128,2,69.33,0.35,62.84,0.16,63.41,0.14,68.82,0.51,63.13,0.0,61.67,0.2,60.81,0.06,62.08,0.21,61.41,0.15,59.97,0.18,61.46,0.1,61.46
12,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.3_hidden_channels128_K3,search_logs_frontdoor/arxiv/gat/stage1/012_arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.3_hidden_channels128_K3.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.005 --weight_decay 5e-05 --dropout 0.3 --hidden_channels 128 --K 3 --result_name arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.3_hidden_channels128_K3,0,667.88,0.005,5e-05,0.3,128,3,69.18,0.45,63.06,0.21,63.44,0.09,68.74,0.09,63.01,0.09,61.67,0.12,60.84,0.53,62.01,0.31,61.36,0.19,59.71,0.48,60.98,0.18,60.98
13,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.1_hidden_channels64_K2,search_logs_frontdoor/arxiv/gat/stage1/013_arxiv_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.1_hidden_channels64_K2.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.005 --weight_decay 0.0001 --dropout 0.1 --hidden_channels 64 --K 2 --result_name arxiv_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.1_hidden_channels64_K2,0,566.12,0.005,0.0001,0.1,64,2,73.38,0.2,63.21,0.38,63.49,0.04,72.57,0.05,62.98,0.16,61.52,0.29,60.17,0.35,61.58,0.26,61.09,0.43,59.45,0.1,60.96,0.21,60.96
14,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.1_hidden_channels64_K3,search_logs_frontdoor/arxiv/gat/stage1/014_arxiv_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.1_hidden_channels64_K3.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.005 --weight_decay 0.0001 --dropout 0.1 --hidden_channels 64 --K 3 --result_name arxiv_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.1_hidden_channels64_K3,0,464.8,0.005,0.0001,0.1,64,3,73.38,0.07,62.93,0.02,63.01,0.04,72.88,0.3,62.6,0.04,61.35,0.25,60.06,0.26,61.09,0.35,60.74,0.26,59.14,1.24,60.27,0.64,60.27
15,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.1_hidden_channels128_K2,search_logs_frontdoor/arxiv/gat/stage1/015_arxiv_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.1_hidden_channels128_K2.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.005 --weight_decay 0.0001 --dropout 0.1 --hidden_channels 128 --K 2 --result_name arxiv_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.1_hidden_channels128_K2,0,487.48,0.005,0.0001,0.1,128,2,89.0,0.2,64.33,0.42,64.73,0.35,86.5,2.51,64.27,0.23,61.89,0.05,60.93,0.09,61.77,0.28,60.97,0.15,59.3,0.45,60.1,0.67,60.1
16,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.1_hidden_channels128_K3,search_logs_frontdoor/arxiv/gat/stage1/016_arxiv_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.1_hidden_channels128_K3.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.005 --weight_decay 0.0001 --dropout 0.1 --hidden_channels 128 --K 3 --result_name arxiv_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.1_hidden_channels128_K3,0,515.63,0.005,0.0001,0.1,128,3,88.37,0.95,64.31,0.25,64.74,0.3,84.44,2.43,64.47,0.48,62.01,0.39,60.92,0.3,61.87,0.1,60.95,0.02,59.32,0.62,59.99,0.66,59.99
17,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.2_hidden_channels64_K2,search_logs_frontdoor/arxiv/gat/stage1/017_arxiv_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.2_hidden_channels64_K2.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.005 --weight_decay 0.0001 --dropout 0.2 --hidden_channels 64 --K 2 --result_name arxiv_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.2_hidden_channels64_K2,0,413.35,0.005,0.0001,0.2,64,2,67.44,0.01,62.34,0.25,62.81,0.36,66.97,0.36,62.45,0.22,60.98,0.12,60.47,0.09,61.8,0.54,60.74,0.1,59.28,0.13,60.9,0.71,60.9
18,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.2_hidden_channels64_K3,search_logs_frontdoor/arxiv/gat/stage1/018_arxiv_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.2_hidden_channels64_K3.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.005 --weight_decay 0.0001 --dropout 0.2 --hidden_channels 64 --K 3 --result_name arxiv_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.2_hidden_channels64_K3,0,473.56,0.005,0.0001,0.2,64,3,67.53,0.03,62.39,0.26,62.63,0.23,67.21,0.24,62.05,0.37,60.81,0.12,60.06,0.16,61.36,0.18,60.21,0.11,58.86,0.36,60.23,0.08,60.23
19,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.2_hidden_channels128_K2,search_logs_frontdoor/arxiv/gat/stage1/019_arxiv_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.2_hidden_channels128_K2.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.005 --weight_decay 0.0001 --dropout 0.2 --hidden_channels 128 --K 2 --result_name arxiv_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.2_hidden_channels128_K2,0,515.83,0.005,0.0001,0.2,128,2,76.26,0.49,64.13,0.41,64.43,0.21,75.56,0.5,64.02,0.04,62.74,0.04,60.84,0.34,61.91,0.22,62.32,0.11,60.16,0.09,60.8,0.79,60.8
20,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.2_hidden_channels128_K3,search_logs_frontdoor/arxiv/gat/stage1/020_arxiv_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.2_hidden_channels128_K3.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.005 --weight_decay 0.0001 --dropout 0.2 --hidden_channels 128 --K 3 --result_name arxiv_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.2_hidden_channels128_K3,0,485.35,0.005,0.0001,0.2,128,3,75.75,0.53,64.08,0.19,64.74,0.0,75.09,0.15,64.26,0.28,62.55,0.06,60.78,0.34,62.09,0.36,62.11,0.06,59.65,0.44,60.42,0.48,60.42
21,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.3_hidden_channels64_K2,search_logs_frontdoor/arxiv/gat/stage1/021_arxiv_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.3_hidden_channels64_K2.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.005 --weight_decay 0.0001 --dropout 0.3 --hidden_channels 64 --K 2 --result_name arxiv_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.3_hidden_channels64_K2,0,339.51,0.005,0.0001,0.3,64,2,63.12,0.19,60.15,0.1,60.57,0.19,62.87,0.42,60.02,0.31,59.26,0.11,58.92,0.51,60.42,0.58,58.83,0.29,57.96,0.18,59.89,0.27,59.89
22,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.3_hidden_channels64_K3,search_logs_frontdoor/arxiv/gat/stage1/022_arxiv_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.3_hidden_channels64_K3.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.005 --weight_decay 0.0001 --dropout 0.3 --hidden_channels 64 --K 3 --result_name arxiv_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.3_hidden_channels64_K3,0,343.28,0.005,0.0001,0.3,64,3,63.19,0.44,60.25,0.6,60.7,0.15,62.96,0.3,60.33,0.05,59.3,0.06,59.18,0.4,60.7,0.01,59.03,0.22,58.6,0.76,60.11,0.06,60.11
23,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.3_hidden_channels128_K2,search_logs_frontdoor/arxiv/gat/stage1/023_arxiv_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.3_hidden_channels128_K2.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.005 --weight_decay 0.0001 --dropout 0.3 --hidden_channels 128 --K 2 --result_name arxiv_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.3_hidden_channels128_K2,0,357.6,0.005,0.0001,0.3,128,2,69.31,0.1,63.1,0.4,63.46,0.03,68.9,0.45,63.14,0.07,61.73,0.11,60.89,0.14,62.39,0.26,61.39,0.24,60.26,0.12,61.72,0.03,61.72
