index,dataset,backbone,stage,result_name,log_file,command,return_code,elapsed_seconds,lr,weight_decay,dropout,hidden_channels,K,highest_train,highest_train_std,highest_valid,highest_valid_std,highest_in_test,highest_in_test_std,final_train,final_train_std,final_in_test,final_in_test_std,highest_ood_test_1,highest_ood_test_1_std,highest_ood_test_2,highest_ood_test_2_std,highest_ood_test_3,highest_ood_test_3_std,final_ood_test_1,final_ood_test_1_std,final_ood_test_2,final_ood_test_2_std,final_ood_test_3,final_ood_test_3_std,last_final_ood_test
34,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.001_weight_decay5e-05_dropout0.3_hidden_channels64_K3,search_logs_frontdoor/arxiv/gat/stage1/034_arxiv_gat_frontdoor_stage1_lr0.001_weight_decay5e-05_dropout0.3_hidden_channels64_K3.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.001 --weight_decay 5e-05 --dropout 0.3 --hidden_channels 64 --K 3 --result_name arxiv_gat_frontdoor_stage1_lr0.001_weight_decay5e-05_dropout0.3_hidden_channels64_K3,0,335.4,0.001,5e-05,0.3,64,3,61.85,0.06,59.28,0.4,59.65,0.49,61.65,0.34,59.45,0.58,58.36,0.02,58.24,0.65,59.81,0.43,58.24,0.19,58.03,0.61,59.77,0.46,59.77
35,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.001_weight_decay5e-05_dropout0.3_hidden_channels128_K2,search_logs_frontdoor/arxiv/gat/stage1/035_arxiv_gat_frontdoor_stage1_lr0.001_weight_decay5e-05_dropout0.3_hidden_channels128_K2.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.001 --weight_decay 5e-05 --dropout 0.3 --hidden_channels 128 --K 2 --result_name arxiv_gat_frontdoor_stage1_lr0.001_weight_decay5e-05_dropout0.3_hidden_channels128_K2,0,365.73,0.001,5e-05,0.3,128,2,67.13,0.08,62.16,0.04,62.8,0.29,67.0,0.02,62.55,0.56,61.34,0.1,60.63,0.38,62.03,0.32,61.26,0.21,60.55,0.44,61.86,0.38,61.86
36,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.001_weight_decay5e-05_dropout0.3_hidden_channels128_K3,search_logs_frontdoor/arxiv/gat/stage1/036_arxiv_gat_frontdoor_stage1_lr0.001_weight_decay5e-05_dropout0.3_hidden_channels128_K3.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.001 --weight_decay 5e-05 --dropout 0.3 --hidden_channels 128 --K 3 --result_name arxiv_gat_frontdoor_stage1_lr0.001_weight_decay5e-05_dropout0.3_hidden_channels128_K3,0,397.9,0.001,5e-05,0.3,128,3,66.76,0.03,61.9,0.19,62.86,0.08,66.57,0.03,62.59,0.15,61.29,0.11,60.75,0.19,62.14,0.04,61.16,0.04,60.4,0.1,61.77,0.06,61.77
37,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.001_weight_decay0.0001_dropout0.1_hidden_channels64_K2,search_logs_frontdoor/arxiv/gat/stage1/037_arxiv_gat_frontdoor_stage1_lr0.001_weight_decay0.0001_dropout0.1_hidden_channels64_K2.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.001 --weight_decay 0.0001 --dropout 0.1 --hidden_channels 64 --K 2 --result_name arxiv_gat_frontdoor_stage1_lr0.001_weight_decay0.0001_dropout0.1_hidden_channels64_K2,0,330.1,0.001,0.0001,0.1,64,2,70.62,0.09,62.25,0.13,62.92,0.24,70.45,0.12,62.79,0.31,61.17,0.37,60.14,0.03,61.39,0.08,61.05,0.24,59.78,0.05,61.08,0.39,61.08
38,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.001_weight_decay0.0001_dropout0.1_hidden_channels64_K3,search_logs_frontdoor/arxiv/gat/stage1/038_arxiv_gat_frontdoor_stage1_lr0.001_weight_decay0.0001_dropout0.1_hidden_channels64_K3.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.001 --weight_decay 0.0001 --dropout 0.1 --hidden_channels 64 --K 3 --result_name arxiv_gat_frontdoor_stage1_lr0.001_weight_decay0.0001_dropout0.1_hidden_channels64_K3,0,303.98,0.001,0.0001,0.1,64,3,70.3,0.08,62.17,0.04,62.99,0.06,69.86,0.27,62.71,0.03,61.06,0.01,59.76,0.04,60.91,0.43,60.87,0.16,59.66,0.09,60.9,0.44,60.9
39,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.001_weight_decay0.0001_dropout0.1_hidden_channels128_K2,search_logs_frontdoor/arxiv/gat/stage1/039_arxiv_gat_frontdoor_stage1_lr0.001_weight_decay0.0001_dropout0.1_hidden_channels128_K2.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.001 --weight_decay 0.0001 --dropout 0.1 --hidden_channels 128 --K 2 --result_name arxiv_gat_frontdoor_stage1_lr0.001_weight_decay0.0001_dropout0.1_hidden_channels128_K2,0,352.9,0.001,0.0001,0.1,128,2,80.6,0.09,63.84,0.11,63.98,0.11,80.28,0.04,63.61,0.21,61.97,0.43,60.24,0.05,60.98,0.65,61.53,0.41,59.63,0.21,60.27,0.16,60.27
40,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.001_weight_decay0.0001_dropout0.1_hidden_channels128_K3,search_logs_frontdoor/arxiv/gat/stage1/040_arxiv_gat_frontdoor_stage1_lr0.001_weight_decay0.0001_dropout0.1_hidden_channels128_K3.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.001 --weight_decay 0.0001 --dropout 0.1 --hidden_channels 128 --K 3 --result_name arxiv_gat_frontdoor_stage1_lr0.001_weight_decay0.0001_dropout0.1_hidden_channels128_K3,0,403.87,0.001,0.0001,0.1,128,3,81.22,0.98,63.78,0.44,64.37,0.32,80.68,1.35,64.33,0.27,61.83,0.29,60.28,0.25,61.4,0.03,61.47,0.13,59.58,0.22,60.55,0.2,60.55
41,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.001_weight_decay0.0001_dropout0.2_hidden_channels64_K2,search_logs_frontdoor/arxiv/gat/stage1/041_arxiv_gat_frontdoor_stage1_lr0.001_weight_decay0.0001_dropout0.2_hidden_channels64_K2.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.001 --weight_decay 0.0001 --dropout 0.2 --hidden_channels 64 --K 2 --result_name arxiv_gat_frontdoor_stage1_lr0.001_weight_decay0.0001_dropout0.2_hidden_channels64_K2,0,323.19,0.001,0.0001,0.2,64,2,65.78,0.08,61.22,0.15,61.85,0.04,65.51,0.0,61.65,0.27,60.15,0.07,59.56,0.15,60.87,0.1,59.9,0.17,58.95,0.07,60.4,0.15,60.4
42,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.001_weight_decay0.0001_dropout0.2_hidden_channels64_K3,search_logs_frontdoor/arxiv/gat/stage1/042_arxiv_gat_frontdoor_stage1_lr0.001_weight_decay0.0001_dropout0.2_hidden_channels64_K3.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.001 --weight_decay 0.0001 --dropout 0.2 --hidden_channels 64 --K 3 --result_name arxiv_gat_frontdoor_stage1_lr0.001_weight_decay0.0001_dropout0.2_hidden_channels64_K3,0,361.35,0.001,0.0001,0.2,64,3,65.71,0.23,61.01,0.01,61.82,0.11,65.6,0.25,61.62,0.04,60.08,0.05,59.33,0.4,60.66,0.19,60.02,0.04,59.21,0.35,60.38,0.36,60.38
43,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.001_weight_decay0.0001_dropout0.2_hidden_channels128_K2,search_logs_frontdoor/arxiv/gat/stage1/043_arxiv_gat_frontdoor_stage1_lr0.001_weight_decay0.0001_dropout0.2_hidden_channels128_K2.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.001 --weight_decay 0.0001 --dropout 0.2 --hidden_channels 128 --K 2 --result_name arxiv_gat_frontdoor_stage1_lr0.001_weight_decay0.0001_dropout0.2_hidden_channels128_K2,0,230.98,0.001,0.0001,0.2,128,2,72.29,0.08,63.55,0.17,64.12,0.27,72.01,0.25,63.95,0.38,62.36,0.06,60.8,0.07,61.57,0.39,62.19,0.11,60.61,0.17,61.32,0.14,61.32
44,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.001_weight_decay0.0001_dropout0.2_hidden_channels128_K3,search_logs_frontdoor/arxiv/gat/stage1/044_arxiv_gat_frontdoor_stage1_lr0.001_weight_decay0.0001_dropout0.2_hidden_channels128_K3.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.001 --weight_decay 0.0001 --dropout 0.2 --hidden_channels 128 --K 3 --result_name arxiv_gat_frontdoor_stage1_lr0.001_weight_decay0.0001_dropout0.2_hidden_channels128_K3,0,245.29,0.001,0.0001,0.2,128,3,72.52,0.18,63.46,0.01,64.12,0.42,72.11,0.03,64.02,0.27,62.32,0.04,60.76,0.05,61.98,0.03,62.12,0.07,60.62,0.24,61.7,0.05,61.7
45,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.001_weight_decay0.0001_dropout0.3_hidden_channels64_K2,search_logs_frontdoor/arxiv/gat/stage1/045_arxiv_gat_frontdoor_stage1_lr0.001_weight_decay0.0001_dropout0.3_hidden_channels64_K2.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.001 --weight_decay 0.0001 --dropout 0.3 --hidden_channels 64 --K 2 --result_name arxiv_gat_frontdoor_stage1_lr0.001_weight_decay0.0001_dropout0.3_hidden_channels64_K2,0,204.03,0.001,0.0001,0.3,64,2,61.71,0.11,59.13,0.12,59.78,0.12,61.5,0.24,59.58,0.06,58.25,0.13,58.03,0.3,59.67,0.24,58.13,0.17,57.85,0.18,59.42,0.34,59.42
46,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.001_weight_decay0.0001_dropout0.3_hidden_channels64_K3,search_logs_frontdoor/arxiv/gat/stage1/046_arxiv_gat_frontdoor_stage1_lr0.001_weight_decay0.0001_dropout0.3_hidden_channels64_K3.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.001 --weight_decay 0.0001 --dropout 0.3 --hidden_channels 64 --K 3 --result_name arxiv_gat_frontdoor_stage1_lr0.001_weight_decay0.0001_dropout0.3_hidden_channels64_K3,0,207.73,0.001,0.0001,0.3,64,3,61.87,0.08,59.23,0.25,59.68,0.33,61.45,0.06,59.49,0.48,58.36,0.05,58.19,0.69,59.74,0.47,58.23,0.06,57.88,0.51,59.68,0.43,59.68
47,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.001_weight_decay0.0001_dropout0.3_hidden_channels128_K2,search_logs_frontdoor/arxiv/gat/stage1/047_arxiv_gat_frontdoor_stage1_lr0.001_weight_decay0.0001_dropout0.3_hidden_channels128_K2.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.001 --weight_decay 0.0001 --dropout 0.3 --hidden_channels 128 --K 2 --result_name arxiv_gat_frontdoor_stage1_lr0.001_weight_decay0.0001_dropout0.3_hidden_channels128_K2,0,236.29,0.001,0.0001,0.3,128,2,67.17,0.15,62.05,0.15,62.75,0.45,66.96,0.21,62.52,0.6,61.26,0.04,60.37,0.19,61.78,0.29,61.13,0.08,59.98,0.42,61.43,0.35,61.43
48,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.001_weight_decay0.0001_dropout0.3_hidden_channels128_K3,search_logs_frontdoor/arxiv/gat/stage1/048_arxiv_gat_frontdoor_stage1_lr0.001_weight_decay0.0001_dropout0.3_hidden_channels128_K3.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.001 --weight_decay 0.0001 --dropout 0.3 --hidden_channels 128 --K 3 --result_name arxiv_gat_frontdoor_stage1_lr0.001_weight_decay0.0001_dropout0.3_hidden_channels128_K3,0,244.44,0.001,0.0001,0.3,128,3,66.79,0.04,61.86,0.22,62.94,0.03,66.61,0.12,62.74,0.07,61.26,0.05,60.66,0.04,62.05,0.07,61.18,0.12,60.37,0.06,61.72,0.25,61.72
