index,dataset,backbone,stage,result_name,log_file,command,return_code,elapsed_seconds,lr,weight_decay,dropout,hidden_channels,K,highest_train,highest_train_std,highest_valid,highest_valid_std,highest_in_test,highest_in_test_std,final_train,final_train_std,final_in_test,final_in_test_std,highest_ood_test_1,highest_ood_test_1_std,highest_ood_test_2,highest_ood_test_2_std,highest_ood_test_3,highest_ood_test_3_std,final_ood_test_1,final_ood_test_1_std,final_ood_test_2,final_ood_test_2_std,final_ood_test_3,final_ood_test_3_std,last_final_ood_test
26,twitch,gat,stage1,twitch_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.0_hidden_channels32_K3,search_logs_frontdoor/twitch/gat/stage1/026_twitch_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.0_hidden_channels32_K3.log,python main_frontdoor.py --dataset twitch --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.005 --weight_decay 5e-05 --dropout 0.0 --hidden_channels 32 --K 3 --result_name twitch_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.0_hidden_channels32_K3,0,219.94,0.005,5e-05,0.0,32,3,82.23,2.95,74.4,0.18,75.42,0.03,77.87,0.49,75.36,0.02,68.3,0.13,55.88,0.38,64.22,0.02,68.18,0.17,54.8,0.46,63.94,0.33,63.94
27,twitch,gat,stage1,twitch_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.0_hidden_channels64_K2,search_logs_frontdoor/twitch/gat/stage1/027_twitch_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.0_hidden_channels64_K2.log,python main_frontdoor.py --dataset twitch --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.005 --weight_decay 5e-05 --dropout 0.0 --hidden_channels 64 --K 2 --result_name twitch_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.0_hidden_channels64_K2,0,216.57,0.005,5e-05,0.0,64,2,82.82,0.37,74.56,0.07,75.49,0.21,78.73,1.06,75.48,0.2,68.3,0.06,55.98,0.05,64.29,0.17,67.89,0.36,55.19,0.36,63.65,0.48,63.65
28,twitch,gat,stage1,twitch_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.0_hidden_channels64_K3,search_logs_frontdoor/twitch/gat/stage1/028_twitch_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.0_hidden_channels64_K3.log,python main_frontdoor.py --dataset twitch --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.005 --weight_decay 5e-05 --dropout 0.0 --hidden_channels 64 --K 3 --result_name twitch_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.0_hidden_channels64_K3,0,229.56,0.005,5e-05,0.0,64,3,83.63,0.7,74.59,0.11,75.61,0.03,78.21,0.13,75.56,0.01,68.42,0.12,55.87,0.08,64.34,0.08,68.33,0.15,54.78,0.24,64.16,0.08,64.16
29,twitch,gat,stage1,twitch_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels32_K2,search_logs_frontdoor/twitch/gat/stage1/029_twitch_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels32_K2.log,python main_frontdoor.py --dataset twitch --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.005 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 32 --K 2 --result_name twitch_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels32_K2,0,240.11,0.005,5e-05,0.1,32,2,79.62,0.19,74.95,0.01,75.56,0.22,78.55,0.34,75.53,0.25,68.27,0.49,54.96,0.26,63.73,0.09,67.96,0.34,54.6,0.18,63.39,0.07,63.39
30,twitch,gat,stage1,twitch_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels32_K3,search_logs_frontdoor/twitch/gat/stage1/030_twitch_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels32_K3.log,python main_frontdoor.py --dataset twitch --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.005 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 32 --K 3 --result_name twitch_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels32_K3,0,281.24,0.005,5e-05,0.1,32,3,79.95,0.73,74.92,0.07,75.4,0.24,78.46,0.76,75.24,0.21,68.0,0.22,54.83,0.37,63.52,0.58,67.68,0.1,54.21,0.25,62.92,0.07,62.92
31,twitch,gat,stage1,twitch_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels64_K2,search_logs_frontdoor/twitch/gat/stage1/031_twitch_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels64_K2.log,python main_frontdoor.py --dataset twitch --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.005 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 64 --K 2 --result_name twitch_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels64_K2,0,311.17,0.005,5e-05,0.1,64,2,82.43,0.21,74.99,0.02,75.69,0.07,80.21,0.81,75.62,0.08,68.33,0.12,55.07,0.24,63.86,0.02,67.25,0.15,54.52,0.01,62.73,0.1,62.73
32,twitch,gat,stage1,twitch_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels64_K3,search_logs_frontdoor/twitch/gat/stage1/032_twitch_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels64_K3.log,python main_frontdoor.py --dataset twitch --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.005 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 64 --K 3 --result_name twitch_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels64_K3,0,286.46,0.005,5e-05,0.1,64,3,82.67,2.0,75.02,0.09,75.66,0.06,79.47,2.27,75.6,0.02,68.28,0.1,54.86,0.12,63.83,0.02,67.41,1.07,54.43,0.24,62.98,0.97,62.98
33,twitch,gat,stage1,twitch_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels32_K2,search_logs_frontdoor/twitch/gat/stage1/033_twitch_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels32_K2.log,python main_frontdoor.py --dataset twitch --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 32 --K 2 --result_name twitch_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels32_K2,0,226.22,0.005,5e-05,0.2,32,2,79.02,0.13,75.18,0.01,75.71,0.14,78.82,0.11,75.65,0.14,68.0,0.33,54.63,0.35,63.65,0.3,67.6,0.18,54.31,0.39,63.32,0.36,63.32
34,twitch,gat,stage1,twitch_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels32_K3,search_logs_frontdoor/twitch/gat/stage1/034_twitch_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels32_K3.log,python main_frontdoor.py --dataset twitch --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 32 --K 3 --result_name twitch_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels32_K3,0,176.84,0.005,5e-05,0.2,32,3,78.93,0.71,75.09,0.16,75.71,0.07,78.51,0.32,75.66,0.12,67.9,0.23,54.54,0.59,63.62,0.13,67.5,0.09,54.25,0.41,63.19,0.01,63.19
35,twitch,gat,stage1,twitch_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2,search_logs_frontdoor/twitch/gat/stage1/035_twitch_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2.log,python main_frontdoor.py --dataset twitch --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --result_name twitch_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2,0,179.31,0.005,5e-05,0.2,64,2,80.29,0.93,75.13,0.03,75.69,0.11,78.75,0.56,75.6,0.02,68.18,0.08,54.54,0.02,63.59,0.38,67.76,0.49,54.2,0.1,63.07,0.9,63.07
