index,dataset,stage,result_name,log_file,command,return_code,elapsed_seconds,lr,weight_decay,dropout,lamda,K,hidden_channels,other_env_reduce,highest_train,highest_train_std,highest_valid,highest_valid_std,highest_in_test,highest_in_test_std,final_train,final_train_std,final_in_test,final_in_test_std,highest_ood_test_1,highest_ood_test_1_std,final_ood_test_1,final_ood_test_1_std,last_final_ood_test
11,cora,stage1,cora_stage1_lr0.01_weight_decay5e-05_dropout0.3_lamda1.0_K3_hidden_channels32_other_env_reduceenv,search_logs/cora/stage1/011_cora_stage1_lr0.01_weight_decay5e-05_dropout0.3_lamda1.0_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset cora --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.3 --lamda 1.0 --K 3 --hidden_channels 32 --other_env_reduce env --result_name cora_stage1_lr0.01_weight_decay5e-05_dropout0.3_lamda1.0_K3_hidden_channels32_other_env_reduceenv,0,184.18,0.01,5e-05,0.3,1.0,3,32,env,100.0,0.0,97.27,0.1,97.51,0.1,100.0,0.0,97.22,0.31,98.47,0.09,98.39,0.04,98.39
12,cora,stage1,cora_stage1_lr0.01_weight_decay5e-05_dropout0.3_lamda2.0_K3_hidden_channels32_other_env_reduceenv,search_logs/cora/stage1/012_cora_stage1_lr0.01_weight_decay5e-05_dropout0.3_lamda2.0_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset cora --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.3 --lamda 2.0 --K 3 --hidden_channels 32 --other_env_reduce env --result_name cora_stage1_lr0.01_weight_decay5e-05_dropout0.3_lamda2.0_K3_hidden_channels32_other_env_reduceenv,0,206.25,0.01,5e-05,0.3,2.0,3,32,env,100.0,0.0,97.24,0.07,97.44,0.07,100.0,0.0,97.29,0.0,98.42,0.04,98.36,0.07,98.36
13,cora,stage1,cora_stage1_lr0.005_weight_decay5e-05_dropout0.1_lamda0.1_K3_hidden_channels32_other_env_reduceenv,search_logs/cora/stage1/013_cora_stage1_lr0.005_weight_decay5e-05_dropout0.1_lamda0.1_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset cora --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.005 --weight_decay 5e-05 --dropout 0.1 --lamda 0.1 --K 3 --hidden_channels 32 --other_env_reduce env --result_name cora_stage1_lr0.005_weight_decay5e-05_dropout0.1_lamda0.1_K3_hidden_channels32_other_env_reduceenv,0,394.38,0.005,5e-05,0.1,0.1,3,32,env,100.0,0.0,97.19,0.0,97.76,0.03,99.98,0.03,97.54,0.07,92.89,1.24,88.11,2.33,88.11
14,cora,stage1,cora_stage1_lr0.005_weight_decay5e-05_dropout0.1_lamda0.5_K3_hidden_channels32_other_env_reduceenv,search_logs/cora/stage1/014_cora_stage1_lr0.005_weight_decay5e-05_dropout0.1_lamda0.5_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset cora --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.005 --weight_decay 5e-05 --dropout 0.1 --lamda 0.5 --K 3 --hidden_channels 32 --other_env_reduce env --result_name cora_stage1_lr0.005_weight_decay5e-05_dropout0.1_lamda0.5_K3_hidden_channels32_other_env_reduceenv,0,358.36,0.005,5e-05,0.1,0.5,3,32,env,100.0,0.0,97.17,0.03,97.74,0.0,100.0,0.0,97.42,0.03,93.19,0.77,90.26,1.84,90.26
15,cora,stage1,cora_stage1_lr0.005_weight_decay5e-05_dropout0.1_lamda1.0_K3_hidden_channels32_other_env_reduceenv,search_logs/cora/stage1/015_cora_stage1_lr0.005_weight_decay5e-05_dropout0.1_lamda1.0_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset cora --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.005 --weight_decay 5e-05 --dropout 0.1 --lamda 1.0 --K 3 --hidden_channels 32 --other_env_reduce env --result_name cora_stage1_lr0.005_weight_decay5e-05_dropout0.1_lamda1.0_K3_hidden_channels32_other_env_reduceenv,0,261.78,0.005,5e-05,0.1,1.0,3,32,env,100.0,0.0,97.19,0.07,97.66,0.03,100.0,0.0,97.29,0.0,93.75,0.8,90.62,1.71,90.62
16,cora,stage1,cora_stage1_lr0.005_weight_decay5e-05_dropout0.1_lamda2.0_K3_hidden_channels32_other_env_reduceenv,search_logs/cora/stage1/016_cora_stage1_lr0.005_weight_decay5e-05_dropout0.1_lamda2.0_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset cora --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.005 --weight_decay 5e-05 --dropout 0.1 --lamda 2.0 --K 3 --hidden_channels 32 --other_env_reduce env --result_name cora_stage1_lr0.005_weight_decay5e-05_dropout0.1_lamda2.0_K3_hidden_channels32_other_env_reduceenv,0,227.77,0.005,5e-05,0.1,2.0,3,32,env,100.0,0.0,97.19,0.0,97.69,0.07,100.0,0.0,97.29,0.14,94.21,0.8,90.97,3.25,90.97
17,cora,stage1,cora_stage1_lr0.005_weight_decay5e-05_dropout0.2_lamda0.1_K3_hidden_channels32_other_env_reduceenv,search_logs/cora/stage1/017_cora_stage1_lr0.005_weight_decay5e-05_dropout0.2_lamda0.1_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset cora --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --lamda 0.1 --K 3 --hidden_channels 32 --other_env_reduce env --result_name cora_stage1_lr0.005_weight_decay5e-05_dropout0.2_lamda0.1_K3_hidden_channels32_other_env_reduceenv,0,326.05,0.005,5e-05,0.2,0.1,3,32,env,100.0,0.0,97.07,0.03,97.56,0.03,100.0,0.0,97.34,0.14,97.59,0.26,96.76,0.05,96.76
18,cora,stage1,cora_stage1_lr0.005_weight_decay5e-05_dropout0.2_lamda0.5_K3_hidden_channels32_other_env_reduceenv,search_logs/cora/stage1/018_cora_stage1_lr0.005_weight_decay5e-05_dropout0.2_lamda0.5_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset cora --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --lamda 0.5 --K 3 --hidden_channels 32 --other_env_reduce env --result_name cora_stage1_lr0.005_weight_decay5e-05_dropout0.2_lamda0.5_K3_hidden_channels32_other_env_reduceenv,0,340.96,0.005,5e-05,0.2,0.5,3,32,env,100.0,0.0,97.0,0.07,97.56,0.03,100.0,0.0,97.42,0.1,97.72,0.17,96.81,0.16,96.81
19,cora,stage1,cora_stage1_lr0.005_weight_decay5e-05_dropout0.2_lamda1.0_K3_hidden_channels32_other_env_reduceenv,search_logs/cora/stage1/019_cora_stage1_lr0.005_weight_decay5e-05_dropout0.2_lamda1.0_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset cora --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --lamda 1.0 --K 3 --hidden_channels 32 --other_env_reduce env --result_name cora_stage1_lr0.005_weight_decay5e-05_dropout0.2_lamda1.0_K3_hidden_channels32_other_env_reduceenv,0,226.27,0.005,5e-05,0.2,1.0,3,32,env,100.0,0.0,96.97,0.1,97.49,0.0,100.0,0.0,97.34,0.07,97.76,0.1,97.13,0.62,97.13
20,cora,stage1,cora_stage1_lr0.005_weight_decay5e-05_dropout0.2_lamda2.0_K3_hidden_channels32_other_env_reduceenv,search_logs/cora/stage1/020_cora_stage1_lr0.005_weight_decay5e-05_dropout0.2_lamda2.0_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset cora --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --lamda 2.0 --K 3 --hidden_channels 32 --other_env_reduce env --result_name cora_stage1_lr0.005_weight_decay5e-05_dropout0.2_lamda2.0_K3_hidden_channels32_other_env_reduceenv,0,203.63,0.005,5e-05,0.2,2.0,3,32,env,100.0,0.0,97.0,0.0,97.49,0.0,100.0,0.0,97.37,0.03,97.91,0.1,97.67,0.15,97.67
